Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YLR268W	sec22	YKL139W	ctk1-supp1	0.239
YLR268W	sec22	YGL054C	erv14	0.218
YLR268W	sec22	YLR268W	sec22-1	0.565
YLR268W	sec22	YNL041C	cog6	0.281
YLR268W	sec22	YGL005C	cog7	0.278
YLR268W	sec22	YML071C	cog8	0.340
YLR268W	sec22	YGL020C	get1-supp1	0.381
YLR268W	sec22	YKR068C	bet3-5001	0.273
YLR268W	sec22	YOR216C	rud3	0.328
YLR268W	sec22	YMR197C	vti1-11	0.361
YLR268W	sec22	YER157W	cog3-2	0.364
YLR268W	sec22	YER083C	get2	0.267
YLR268W	sec22	YDR189W	sly1-ts	0.373
YLR268W	sec22	YDL058W	uso1-1	0.359
YLR268W	sec22	YKR006C	mrpl13	0.267
YOR201C	mrm1	YPL029W	suv3-supp1	0.244
YOR201C	mrm1	YDR462W	mrpl28	0.346
YOR201C	mrm1	YLR091W	gep5	0.388
YOR201C	mrm1	YMR097C	mtg1-supp1	0.256
YOR201C	mrm1	YKL155C	rsm22	0.243
YOR201C	mrm1	YJL102W	mef2	0.246
YOR201C	mrm1	YDR065W	rrg1	0.273
YOR201C	mrm1	YDL202W	mrpl11-supp1	0.206
YOR201C	mrm1	YJR113C	rsm7	0.259
YOR201C	mrm1	YHR038W	rrf1	0.268
YOR201C	mrm1	YBR163W	exo5	0.293
YOR201C	mrm1	YNL185C	mrpl19	0.288
YOR201C	mrm1	YER087W	aim10	0.211
YOR201C	mrm1	YEL050C	rml2	0.349
YOR201C	mrm1	YBR251W	mrps5-supp1	0.249
YOR201C	mrm1	YER017C	afg3	0.408
YOR201C	mrm1	YBR268W	mrpl37	0.206
YOR201C	mrm1	YJR144W	mgm101	0.272
YOR201C	mrm1	YFL036W	rpo41-supp1	0.205
YOR201C	mrm1	YDR405W	mrp20	0.275
YOR201C	mrm1	YKL138C	mrpl31	0.271
YPL029W	suv3-supp1	YHR116W	cox23	0.262
YPL029W	suv3-supp1	YIL134W	flx1	0.217
YPL029W	suv3-supp1	YDR462W	mrpl28	0.243
YPL029W	suv3-supp1	YPR117W	ypr117w-supp1	0.250
YPL029W	suv3-supp1	YMR035W	imp2	0.245
YPL029W	suv3-supp1	YHR189W	pth1	0.244
YPL029W	suv3-supp1	YBL021C	hap3	0.283
YPL029W	suv3-supp1	YMR256C	cox7	0.268
YPL029W	suv3-supp1	YLR038C	cox12	0.252
YPL029W	suv3-supp1	YOR358W	hap5	0.222
YPL029W	suv3-supp1	YOR350C	mne1	0.314
YPL029W	suv3-supp1	YMR097C	mtg1-supp1	0.305
YPL029W	suv3-supp1	YKL155C	rsm22	0.200
YPL029W	suv3-supp1	YOR232W	mge1-100	0.233
YPL029W	suv3-supp1	YOR065W	cyt1	0.338
YPL029W	suv3-supp1	YCR003W	mrpl32-supp1a	0.239
YPL029W	suv3-supp1	YLR218C	coa4	0.222
YPL029W	suv3-supp1	YDR065W	rrg1	0.342
YPL029W	suv3-supp1	YJL062W-A	coa3	0.271
YPL029W	suv3-supp1	YPL183W-A	rtc6	0.235
YPL029W	suv3-supp1	YNL003C	pet8	0.224
YPL029W	suv3-supp1	YPL104W	msd1	0.208
YPL029W	suv3-supp1	YGR183C	qcr9	0.326
YPL029W	suv3-supp1	YPL172C	cox10	0.354
YPL029W	suv3-supp1	YJL102W	mef2-supp1	0.436
YPL029W	suv3-supp1	YMR282C	aep2	0.251
YPL029W	suv3-supp1	YJR113C	rsm7	0.278
YPL029W	suv3-supp1	YHR038W	rrf1	0.279
YPL029W	suv3-supp1	YBR037C	sco1	0.274
YPL029W	suv3-supp1	YNL315C	atp11	0.215
YPL029W	suv3-supp1	YNR041C	coq2	0.338
YPL029W	suv3-supp1	YNL185C	mrpl19	0.226
YPL029W	suv3-supp1	YPL013C	mrps16-supp1	0.358
YPL029W	suv3-supp1	YOR125C	cat5	0.213
YPL029W	suv3-supp1	YEL050C	rml2	0.238
YPL029W	suv3-supp1	YBR251W	mrps5-supp1	0.247
YPL029W	suv3-supp1	YNL252C	mrpl17-supp1	0.242
YPL029W	suv3-supp1	YER017C	afg3	0.306
YPL029W	suv3-supp1	YER153C	pet122	0.250
YPL029W	suv3-supp1	YML129C	cox14	0.352
YPL029W	suv3-supp1	YDL107W	mss2	0.282
YPL029W	suv3-supp1	YLL009C	cox17	0.248
YPL029W	suv3-supp1	YBR268W	mrpl37	0.200
YPL029W	suv3-supp1	YJL096W	mrpl49-supp1	0.229
YPL029W	suv3-supp1	YJR144W	mgm101	0.264
YPL029W	suv3-supp1	YJL166W	qcr8	0.295
YPL029W	suv3-supp1	YFL036W	rpo41-supp1	0.315
YPL029W	suv3-supp1	YDR405W	mrp20	0.213
YPL029W	suv3-supp1	YGR112W	shy1	0.256
YPL029W	suv3-supp1	YJR101W	rsm26	0.212
YPL029W	suv3-supp1	YNL284C	mrpl10-supp1	0.206
YKL137W	cmc1	YGR174C	cbp4	0.231
YKL137W	cmc1	YLR201C	coq9	0.212
YKL137W	cmc1	YJL003W	cox16	0.310
YKL137W	cmc1	YNR018W	rcf2	0.263
YKL137W	cmc1	YLR091W	gep5	0.234
YKL137W	cmc1	YBR120C	cbp6-supp1	0.242
YKL137W	cmc1	YLR203C	mss51	0.218
YKL137W	cmc1	YGL119W	coq8	0.298
YKL137W	cmc1	YDR079W	pet100	0.278
YKL137W	cmc1	YML030W	rcf1	0.209
YKL137W	cmc1	YJL062W-A	coa3	0.288
YKL137W	cmc1	YPL183W-A	rtc6	0.212
YKL137W	cmc1	YGR222W	pet54	0.451
YKL137W	cmc1	YBR003W	coq1	0.502
YKL137W	cmc1	YMR150C	imp1	0.217
YKL137W	cmc1	YJL209W	cbp1	0.342
YKL137W	cmc1	YDR316W	oms1	0.259
YKL137W	cmc1	YPL189C-A	coa2	0.287
YKL137W	cmc1	YBR037C	sco1	0.331
YKL137W	cmc1	YLR295C	atp14	0.256
YKL137W	cmc1	YDL069C	cbs1	0.313
YKL137W	cmc1	YKL040C	nfu1	0.232
YKL137W	cmc1	YDR231C	cox20	0.269
YKL137W	cmc1	YKL195W	mia40-5001	0.343
YKL137W	cmc1	YAL039C	cyc3	0.400
YKL137W	cmc1	YMR064W	aep1	0.251
YKL137W	cmc1	YEL024W	rip1	0.309
YKL137W	cmc1	YPL132W	cox11	0.444
YKL137W	cmc1	YJL131C	aim23	0.272
YKL137W	cmc1	YML110C	coq5	0.311
YKL137W	cmc1	YPL078C	atp4	0.353
YKL137W	cmc1	YLR204W	qri5	0.206
YKL137W	cmc1	YER087W	aim10	0.388
YKL137W	cmc1	YGL237C	hap2	0.234
YKL137W	cmc1	YIL157C	coa1	0.244
YKL137W	cmc1	YAL044C	gcv3	0.227
YKL137W	cmc1	YML129C	cox14	0.259
YKL137W	cmc1	YDL107W	mss2	0.326
YKL137W	cmc1	YLL009C	cox17	0.332
YKL137W	cmc1	YJL133C-A	dpi8	0.274
YKL137W	cmc1	YKL109W	hap4	0.253
YKL137W	cmc1	YHL038C	cbp2	0.226
YKL137W	cmc1	YKL016C	atp7	0.241
YKL137W	cmc1	YDR204W	coq4	0.303
YKL137W	cmc1	YER141W	cox15	0.475
YKL137W	cmc1	YGR112W	shy1	0.242
YKL137W	cmc1	YPL005W	aep3	0.212
YKL137W	cmc1	YKL138C	mrpl31	0.455
YHR116W	cox23	YLR201C	coq9	0.209
YHR116W	cox23	YBL021C	hap3	0.280
YHR116W	cox23	YMR256C	cox7	0.228
YHR116W	cox23	YLR038C	cox12	0.256
YHR116W	cox23	YOR350C	mne1	0.236
YHR116W	cox23	YGL119W	coq8	0.251
YHR116W	cox23	YER058W	pet117	0.261
YHR116W	cox23	YOR065W	cyt1	0.272
YHR116W	cox23	YJL062W-A	coa3	0.260
