Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YGL116W	cdc20-1	YPR135W	ctf4	0.268
YGL116W	cdc20-1	YPR119W	clb2	0.266
YGL116W	cdc20-1	YOR261C	rpn8-5007	0.248
YGL116W	cdc20-1	YBR135W	cks1-38	0.285
YNL006W	lst8-6	YFL039C	act1-108	0.220
YNL006W	lst8-6	YOR035C	she4	0.233
YNL006W	lst8-6	YFL039C	act1-3	0.230
YNL006W	lst8-6	YKL203C	tor2-21	0.294
YNL006W	lst8-6	YDL029W	arp2-14	0.248
YNL006W	lst8-6	YKL203C	tor2-29	0.396
YNL006W	lst8-6	YFL039C	act1-136	0.234
YNL006W	lst8-6	YFL039C	act1-4	0.219
YNL006W	lst8-6	YER093C	tsc11-1	0.357
YNL006W	lst8-6	YOL078W	avo1-5005	0.339
YNL006W	lst8-6	YDR212W	tcp1-1	0.215
YNL006W	lst8-6	YJL008C	cct8-5002	0.228
YNL006W	lst8-6	YER093C	tsc11-5	0.346
YNL006W	lst8-6	YJR064W	cct5-5001	0.201
YDR507C	gin4	YHR142W	chs7	0.258
YDR507C	gin4	YBR038W	chs2-5006	0.259
YDR507C	gin4	YCR002C	cdc10-4	0.250
YDR507C	gin4	YHR107C	cdc12-1	0.295
YDR507C	gin4	YJR076C	cdc11-3	0.250
YDR507C	gin4	YBR023C	chs3	0.230
YDR507C	gin4	YLR314C	cdc3-1	0.275
YDR507C	gin4	YJR076C	cdc11-5	0.263
YDR507C	gin4	YJR076C	cdc11-1	0.251
YDR507C	gin4	YNL298W	cla4	0.247
YDR507C	gin4	YJR076C	cdc11-2	0.249
YDR507C	gin4	YNL271C	bni1	0.214
YDR507C	gin4	YGL213C	ski8	0.221
YDR507C	gin4	YBL061C	skt5	0.245
YHR142W	chs7	YBR038W	chs2-5006	0.234
YHR142W	chs7	YER155C	bem2	0.233
YHR142W	chs7	YNL233W	bni4	0.297
YHR142W	chs7	YLR330W	chs5	0.344
YHR142W	chs7	YBR109C	cmd1-8	0.241
YHR142W	chs7	YJL099W	chs6	0.456
YHR142W	chs7	YBR023C	chs3	0.570
YHR142W	chs7	YDR162C	nbp2	0.207
YHR142W	chs7	YBL062W	ybl062w	0.519
YHR142W	chs7	YHR030C	slt2	0.303
YHR142W	chs7	YJL095W	bck1	0.360
YHR142W	chs7	YBR078W	ecm33	0.263
YHR142W	chs7	YBL061C	skt5	0.633
YLL021W	spa2	YNL233W	bni4	0.275
YLL021W	spa2	YBR023C	chs3	0.204
YLL021W	spa2	YHR030C	slt2	0.222
YLL021W	spa2	YNL271C	bni1	0.288
YLL021W	spa2	YJL095W	bck1	0.217
YLL021W	spa2	YBL061C	skt5	0.237
YLL021W	spa2	YLR319C	bud6	0.244
YGR152C	rsr1	YGR151C	ygr151c	0.265
YGR152C	rsr1	YMR194C-B	cmc4	0.219
YHR107C	cdc12-td	YCR002C	cdc10-4	0.233
YHR107C	cdc12-td	YHR107C	cdc12-1	0.206
YHR107C	cdc12-td	YJR076C	cdc11-5	0.237
YHR107C	cdc12-td	YJR076C	cdc11-1	0.241
YHR107C	cdc12-td	YNL298W	cla4	0.209
YHR107C	cdc12-td	YJR076C	cdc11-4	0.235
YOR122C	pfy1-13	YFL039C	act1-133	0.283
YOR122C	pfy1-13	YFL039C	act1-3	0.247
YOR122C	pfy1-13	YFL039C	act1-155	0.268
YOR122C	pfy1-13	YKL007W	cap1	0.261
YOR122C	pfy1-13	YFL039C	act1-105	0.294
YOR122C	pfy1-13	YFL039C	act1-124	0.300
YOR122C	pfy1-13	YIL034C	cap2	0.210
YOR122C	pfy1-13	YOR122C	pfy1-4	0.537
YOR122C	pfy1-13	YFL039C	act1-112	0.362
YOR122C	pfy1-13	YFL039C	act1-101	0.255
YOR122C	pfy1-13	YFL039C	act1-119	0.350
