Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	EAF7	47/707	2.51729297e-08	4.712799921e-07	0.9277053495361004	0.9999969718970356	-1.3736639632629677	24.035680574220027	RRP6;ISY1;CTF13;BRE2;SNU71;YCR023C;NPR1;YPR078C;NUP120;YCL001W-B;SGF29;LSP1;YHR177W;POL5;OPI3;NUP82;ADF1;VPS71;SWC3;AKR2;FYV7;TGS1;SET3;SPP381;VPS54;IRC8;GCR2;EAP1;VPS17;CET1;ACT1;UTP7;CSE2;SSN3;COG6;AME1;SPT8;RAT1;YPT31;MUD2;WHI3;IRC15;SYF1;VPS64;GPB2;IES1;ROX3
Gene_Interaction_Hubs_BioGRID_2018	SEC12	47/736	8.44171519e-08	1.3243149257e-06	0.9612624787727432	0.9999969718970356	-1.4718463041183798	23.972689662709502	ISY1;ASK10;BRE2;BAT2;KAP122;DAT1;NPR2;YJL213W;YDL144C;HLJ1;YIL166C;NUP82;VPS71;MTC2;AIM44;SWC3;SGT2;BEM4;TGS1;SBP1;YPL247C;ISC1;SIP5;MTC6;FUB1;CET1;ACT1;TFC6;ALG8;ARE1;ASK1;PEX30;YML002W;RAT1;YPR153W;TAT2;DIG1;PER1;RSC9;MUD2;PTC6;IRC10;SUB1;IES1;MMS1;GCS1;SEG2
Gene_Interaction_Hubs_BioGRID_2018	GIM4	41/572	2.61859439e-08	4.856636044e-07	0.7998874261129929	0.9999969718970356	-1.3708114225907473	23.93168484595664	RRP6;SKI8;ASK10;ARF1;BRE2;KAP122;RRD2;YJR039W;OCA5;YIL077C;OPI3;VPS71;AIM44;SWC3;RAD24;BEM4;CIN1;PAC11;SET3;ISC1;YNR021W;BUB2;GCR2;VPS17;MTC6;ACT1;CCT2;CSE2;SSN3;PEA2;ASK1;SRB2;RIM101;PER1;RSC9;WHI2;IRC15;SUB1;SYF1;IES1;LPX1
Gene_Interaction_Hubs_BioGRID_2018	RSC6	31/367	3.66703378e-08	6.468647601e-07	0.4275624621644179	0.9999969718970356	-1.39087611562182	23.813603957256053	RRP6;YBR090C;BRE2;OTU2;ERG27;YOR012W;VPS71;SWC3;YER156C;SDS24;SAN1;YNL034W;YEL076C;GCR2;SIL1;CET1;SPT21;ACT1;CSE2;RTS1;PHO91;YJL163C;YNL092W;YBR238C;RSC9;WHI2;CHK1;YDR132C;YJL045W;IES1;YGR237C
Gene_Interaction_Hubs_BioGRID_2018	RAD4	32/402	8.79268207e-08	1.3739431159e-06	0.5571476130628982	0.9999969718970356	-1.4648730070010436	23.799441568455432	BAR1;PSP2;GIS4;YCR100C;FMT1;MMS4;NPR2;USA1;SGF29;UBP10;TGS1;SED1;VPS54;YLR415C;OYE3;CBP1;ACT1;ARE1;ESC8;ASK1;YMR279C;CCZ1;RIM101;HMG1;YLR352W;PTC6;YDL073W;MMS1;YDR249C;AIM39;LPX1;YKL091C
Gene_Interaction_Hubs_BioGRID_2018	MOT1	28/323	9.82921321e-08	1.5239120013e-06	0.3826419508552651	0.9999969718970356	-1.4672232518447714	23.67411939807989	PUT4;NPP2;CTF13;HAL5;YGP1;NUP120;JJJ2;OCA5;ERG27;NUP82;CNN1;VPS71;SBP1;EMC1;PAC11;IRC8;VPS17;YJL133C-A;ACT1;KIP3;YMR102C;SPT8;RAT1;RSC9;ISF1;ZIP1;VAM10;YDR306C
Gene_Interaction_Hubs_BioGRID_2018	MGR1	28/337	2.370445974e-07	3.3127817151e-06	0.4678242920630168	0.9999969718970356	-1.5487525336568326	23.62624706418706	DET1;TOF1;SNU71;HSV2;MDM20;YGR017W;YHR177W;OCA5;YIL077C;YKR005C;IRC22;VPS71;RMD9;SET3;HCS1;CET1;KIP3;YOL057W;STP2;RTS3;YKR018C;YBR238C;YPT31;AIM11;SUB1;YPR174C;MFM1;AIM39
Gene_Interaction_Hubs_BioGRID_2018	ORC2	45/663	2.74857787e-08	5.074002603e-07	0.8986213430004995	0.9999969718970356	-1.3521659650860935	23.540664666292283	RRP6;CTF13;TOF1;ASK10;YJR142W;YHR218W;PEF1;NST1;YGP1;RRD2;YMR027W;SPC2;SMA2;QRI1;VPS71;MTC2;AIM44;ORC6;RAD24;SET3;SAN1;ESC1;CET1;SPT21;PET127;ACT1;CSE2;ALG8;RTS3;IBD2;MLP2;RTS1;ASK1;SRB2;RAT1;YHL042W;NCR1;PTC6;AIM11;CHK1;SYF1;YJL045W;IDS2;MMS1;SAE2
Gene_Interaction_Hubs_BioGRID_2018	SPT4	22/207	6.94956609e-08	1.121253163e-06	0.1304847739514344	0.9999969718970356	-1.4268621935233046	23.5175448415995	RRP6;CET1;CTF13;ALG8;SSN3;PEF1;MMS4;SPT8;HLJ1;SPC2;VPS71;SWC3;SUB1;CCW12;SET3;IES1;ISC1;THI2;MMS1;GCR2;SIL1;SAE2
Gene_Interaction_Hubs_BioGRID_2018	COQ2	27/308	1.327617213e-07	1.9735253638e-06	0.3646999111542867	0.9999969718970356	-1.4836186799922946	23.49267137626269	BAR1;WAR1;HKR1;YCR100C;YHR202W;YOL036W;POL5;ADF1;SEN2;VPS71;ORC6;SET3;PNS1;IRC8;YLR415C;MTC6;COS111;CUP1-2;YPL162C;PET127;TFC6;YJL070C;RTS1;SRY1;IRC15;NAT4;FMP52
