Gene name	Number of transposons per gene	Number of reads per gene
NOP2	92	835
GCD10	74	1003
IMP4	23	95
TOP2	78	736
POL1	228	3147
MET4	59	659
NOP15	21	44
DBP2	110	1014
RPC19	14	20
YNL114C	13	90
DCP2	100	1225
NAF1	57	648
SPC98	119	881
TOM22	8	7
KRE33	68	944
NAM9	103	1404
YSF3	25	135
PGA2	12	46
YNL150W	8	8
RPC31	29	233
INN1	41	709
PGA1	20	44
CBK1	122	1287
RPL42A	33	275
RIA1	118	1303
APC1	247	2794
RPS3	1	0
YNL181W	39	239
IPI3	54	409
KAR1	21	86
SRP1	15	64
RIO2	34	143
RAP1	155	1536
POP1	131	1647
SSU72	12	31
CSL4	19	118
NAR1	72	852
SUI1	34	339
CWC25	17	102
YNL247W	115	1237
NRD1	74	569
FOL1	100	1144
DSL1	97	1729
LTO1	14	45
ORC5	22	59
POL2	305	3062
YIF1	42	386
PIK1	94	724
SEC2	79	836
POP3	62	1327
SEC21	89	895
RFC3	48	517
MRPS18	22	64
KRI1	40	124
ZIM17	37	470
RFA2	15	75
EMW1	88	760
PFS2	66	659
RPC34	70	1123
PRP2	157	2216
ACC1	261	2599
TIM23	43	695
SEC12	57	1242
ARC35	51	372
DBP6	38	250
MVD1	24	87
TRM112	28	223
NOG2	54	231
ESF2	58	341
RPB11	18	26
RCL1	60	629
DIS3	105	1041
TSR4	28	179
MIM1	42	145
SMC5	138	1755
PRE6	38	244
RPS15	34	255
RIB2	142	2054
NUF2	34	221
BRX1	28	296
AVO1	173	2843
RFC4	32	320
WRS1	73	609
TPT1	41	318
RPL18A	30	227
HRP1	48	210
RPL25	0	0
ALR1	123	2137
HRT1	33	455
YOL134C	60	1200
MED7	42	353
CDC33	7	10
NOP8	46	352
PSF3	20	131
DCP1	23	38
UTP23	29	209
HSP10	1	0
DBP5	79	735
RAT1	81	422
NOB1	111	1324
SGT1	53	238
SLD7	54	381
RPL3	22	188
CDC21	46	622
UFE1	52	549
RTS2	73	896
RKI1	24	115
NUP1	69	522
YOR102W	8	11
OST2	9	9
VAM3	30	229
TFC7	63	474
RPO31	121	1141
RPT5	58	700
RIO1	59	363
PFY1	24	70
THI80	59	356
YOR146W	14	22
SPP2	15	211
SMP3	55	357
RPB2	120	1320
PDR5	230	4403
PUP1	47	343
SME1	23	155
MTR10	61	419
GLN4	75	529
YOR169C	11	20
MED4	33	372
HEM15	62	1257
LAS17	53	597
TOA1	19	25
YOR203W	37	809
DED1	49	547
NOC2	87	851
RET1	102	701
RPB10	10	14
RFC1	132	1174
YOR218C	21	155
RPB8	24	154
WTM2	162	5175
MGE1	29	65
KIN4	185	3629
DFR1	41	619
ESA1	58	663
APC5	33	132
CLP1	29	226
SEC63	57	478
TRE2	61	345
CDC31	5	4
RPT4	53	387
GCD1	68	532
RPN8	23	55
GPN2	42	296
FSF1	92	1585
YTM1	28	157
HEM4	37	293
PLP2	36	327
YOR282W	36	897
RRP36	24	47
RRS1	13	49
NOP58	31	145
HSH49	17	26
MYO2	174	1499
SCD5	76	627
ALA1	140	1295
KRE5	137	1830
RPA43	31	173
RPA190	126	1180
SOG2	122	1823
PRT1	114	1169
PRE10	29	225
MRS6	55	466
NDD1	45	477
NUD1	75	826
TFC8	67	638
RET3	17	137
TAF3	86	924
RRP12	126	1122
SWI1	88	822
ULP1	43	356
ERG10	37	122
NOP4	134	997
TIM50	68	679
GCR1	79	651
GPI2	28	182
MOT1	252	3412
SEN54	29	297
SEC16	151	1943
NOG1	98	1884
SEC62	71	984
IDI1	65	828
TFB2	51	167
SPC29	19	148
NAN1	82	539
TBF1	23	85
RPL5	16	44
GIP3	243	4865
YPL142C	2	1
RPL33A	14	74
NOP53	55	382
PRP46	77	1265
RAD53	107	1060
CDC60	108	1507
MEX67	82	1031
SPT14	94	1029
NAB3	75	736
TPK2	76	1049
HRR25	90	974
TYW1	136	2268
IPL1	48	969
SRP72	60	300
NIP7	29	409
BMS1	157	1774
SAR1	39	265
CET1	48	259
FAS2	183	1955
NSL1	66	609
RVB2	81	827
SUI3	11	28
YPL238C	3	3
IQG1	104	1348
SRP68	22	126
YPL251W	16	37
YAH1	25	173
BBP1	55	536
DIM1	40	192
RPA135	128	1764
TIF6	8	21
MCM4	105	921
CCL1	32	98
HTS1	66	597
ARP7	85	737
GLN1	72	982
TIP41	81	866
TIF5	39	314
TAH18	44	384
SEC8	159	1838
TFB4	52	372
DIB1	48	618
ASA1	36	81
SUA7	37	337
