Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YJL031C	bet4-5007	YGR172C	yip1-4	0.215
YJL031C	bet4-5007	YOR370C	mrs6-2	0.506
YDR212W	tcp1-1	YJL008C	cct8-5002	0.428
YDR212W	tcp1-1	YBR078W	ecm33	0.209
YDR212W	tcp1-1	YJR064W	cct5-5001	0.516
YDR212W	tcp1-1	YJL179W	pfd1	0.227
YDR212W	tcp1-1	YGR078C	pac10	0.301
YLR229C	cdc42-1	YBL061C	skt5	0.201
YLR229C	cdc42-1	YAL041W	cdc24-1	0.294
YOR014W	rts1	YFL008W	smc1-259	0.237
YOR014W	rts1	YPR135W	ctf4	0.235
YOR014W	rts1	YPR119W	clb2	0.262
YOR014W	rts1	YDR113C	pds1-128	0.246
YGL090W	lif1	YOR011W-A	yor011w-a	0.362
YJR033C	rav1	YBR164C	arl1	0.251
YJL092W	srs2	YNL218W	mgs1	0.260
YJL092W	srs2	YPR135W	ctf4	0.277
YJL092W	srs2	YMR048W	csm3	0.367
YJL092W	srs2	YOL123W	hrp1-4	0.285
YER087C-B	sbh1	YIR038C	gtt1	0.213
YEL042W	gda1	YBR164C	arl1	0.295
YEL042W	gda1	YDR389W	sac7	0.211
YEL042W	gda1	YDR137W	rgp1	0.409
YEL042W	gda1	YER157W	cog3-2	0.209
YEL042W	gda1	YER122C	glo3-supp1	0.282
YEL042W	gda1	YDR484W	vps52-supp1	0.226
YEL042W	gda1	YOR370C	mrs6-2	0.258
YEL042W	gda1	YOR112W	cex1	0.232
YDL218W	ydl218w	YMR181C	ymr181c	0.221
YDL218W	ydl218w	YLR157C	asp3-2	0.260
YDR150W	num1	YJL008C	cct8-5002	0.361
YIL003W	cfd1-5001	YIL003W	cfd1-5002	0.540
YIL003W	cfd1-5001	YIL150C	mcm10-43	0.442
YCL046W	ycl046w	YCL045C	emc1	0.546
YCL046W	ycl046w	YGL231C	emc4	0.285
YNL283C	wsc2	YDR503C	lpp1	0.388
YKR007W	meh1	YGR057C	lst7	0.250
YLR185W	rpl37a	YOR312C	rpl20b	0.314
YLR185W	rpl37a	YEL054C	rpl12a	0.407
YLR185W	rpl37a	YNL227C	jjj1	0.284
YLR293C	gsp1	YDL022W	gpd1	0.202
YLR293C	gsp1	YLR153C	acs2-5003	0.288
YER077C	mrx1	YLR069C	mef1	0.739
YER077C	mrx1	YBL080C	pet112	0.432
YER077C	mrx1	YDR296W	mhr1	0.380
YER077C	mrx1	YER087W	aim10	0.340
YER077C	mrx1	YMR293C	her2	0.509
YER077C	mrx1	YER017C	afg3	0.295
YER077C	mrx1	YNL213C	rrg9-supp1	0.328
YER077C	mrx1	YBR179C	fzo1	0.280
YER077C	mrx1	YNL252C	mrpl17	0.341
YER077C	mrx1	YBR268W	mrpl37	0.501
YER077C	mrx1	YPL040C	ism1-supp1	0.387
YER077C	mrx1	YDR405W	mrp20	0.259
YJR121W	atp2	YPL078C	atp4	0.407
YJR121W	atp2	YKL016C	atp7	0.312
YJR121W	atp2	YER141W	cox15	0.295
YJR121W	atp2	YPL005W	aep3	0.388
YPL081W	rps9a	YFL034C-B	mob2-28-supp1	0.396
YPL081W	rps9a	YJL178C	atg27	0.363
YPL081W	rps9a	YEL076C	yel076c	0.444
YPL081W	rps9a	YPL279C	fex2	0.586
YPL081W	rps9a	YOL166W-A	yol166w-a	0.407
YPL081W	rps9a	YDL057W	ydl057w	0.561
YJL008C	cct8-5002	YJR064W	cct5-5001	0.420
YJL008C	cct8-5002	YJL179W	pfd1	0.219
YJL008C	cct8-5002	YGR078C	pac10	0.329
YAL026C	drs2-supp1	YJL029C	vps53-supp1	0.267
YLR069C	mef1	YBL080C	pet112	0.631
YLR069C	mef1	YDR296W	mhr1	0.763
YLR069C	mef1	YMR293C	her2	0.353
YLR069C	mef1	YER017C	afg3	0.216
YLR069C	mef1	YNL213C	rrg9-supp1	0.415
YLR069C	mef1	YBR179C	fzo1	0.438
YLR069C	mef1	YNL252C	mrpl17	0.527
YLR069C	mef1	YBR268W	mrpl37	0.672
YLR069C	mef1	YPL040C	ism1-supp1	0.739
YLR069C	mef1	YDR405W	mrp20	0.297
YDR449C	utp6-5001	YLR068W	fyv7	0.247
YDR449C	utp6-5001	YLR222C	utp13-5001	0.266
YDR449C	utp6-5001	YER082C	utp7-5004	0.268
YDR449C	utp6-5001	YIL127C	rrt14	0.263
YDR449C	utp6-5001	YLR051C	fcf2-5011	0.222
YGR229C	smi1	YNL181W	pbr1-5005	0.401
YGR229C	smi1	YNL181W	pbr1-5006	0.312
YLR068W	fyv7	YCL059C	krr1-18	0.251
YLR068W	fyv7	YLR222C	utp13-5001	0.414
YLR068W	fyv7	YOR295W	uaf30	0.223
YLR068W	fyv7	YNL075W	imp4-2	0.406
YLR068W	fyv7	YER082C	utp7-5004	0.263
YLR068W	fyv7	YIL127C	rrt14	0.265
YLR068W	fyv7	YLR051C	fcf2-5011	0.356
YPL078C	atp4	YER087W	aim10	0.361
YPL078C	atp4	YDL107W	mss2	0.361
YPL078C	atp4	YLL009C	cox17	0.290
YPL078C	atp4	YJL133C-A	dpi8	0.302
YPL078C	atp4	YKL016C	atp7	0.407
