Gene name	Number of transposons per gene	Number of reads per gene	
YLL065W	24	440	
PAU18	23	196	
AYT1	75	1039	
MHT1	48	530	
MMP1	70	986	
GTT2	48	1005	
YLL059C	60	1367	
YLL058W	65	460	
JLP1	55	851	
YLL056C	58	596	
YCT1	78	948	
YLL054C	75	484	
YLL053C	25	334	
AQY2	22	246	
FRE6	85	732	
COF1	12	34	
LDB18	14	24	
YBT1	154	1704	
YLL047W	19	36	
RNP1	29	203	
RPL8B	26	165	
YLL044W	20	90	
FPS1	48	512	
ATG10	9	26	
SDH2	60	750	
VPS13	324	3987	
UBI4	47	421	
ENT4	68	1362	
YLL037W	13	151	
PRP19	10	53	
GRC3	29	182	
RIX7	40	184	
IRC19	14	54	
YLL032C	85	1060	
GPI13	59	317	
RRT7	24	239	
FRA1	173	2805	
TPO1	96	1438	
ISA1	17	57	
HSP104	152	2668	
PAU17	18	356	
SSA2	113	1071	
POM33	78	1203	
HIF1	71	1444	
SPA2	124	906	
YLL020C	15	211	
KNS1	66	806	
YLL019W-A	1	0	
COX19	25	34	
DPS1	41	208	
BPT1	176	2252	
EMC6	25	393	
PUF3	95	1264	
YEH1	102	1805	
SOF1	45	242	
PSR1	82	1352	
COX17	12	27	
DRS1	56	313	
LMO1	41	226	
YLL006W-A	39	1307	
MMM1	23	80	
SPO75	93	868	
ORC3	44	245	
SFI1	68	776	
RTT109	71	612	
DNM1	121	1251	
YLR001C	177	2276	
NOC3	38	173	
CMS1	49	613	
THI73	114	2499	
SSL1	46	348	
SSK1	127	1947	
NSE1	50	354	
PAM18	14	13	
RLP24	5	4	
TEN1	2	1	
LOT6	38	676	
YLR012C	16	80	
GAT3	8	21	
PPR1	123	2035	
BRE2	35	135	
PML1	39	811	
MEU1	56	475	
POM34	42	851	
PSR2	63	1218	
YEH2	71	651	
IRC25	21	101	
SDO1	27	222	
IZH3	73	1072	
UBR2	291	6103	
SNF7	13	42	
SED5	25	140	
AAT2	29	169	
ADE16	104	1874	
RPL15A	11	22	
YLR030W	22	314	
YLR031W	13	19	
RAD5	67	554	
RSC58	9	45	
SMF3	43	504	
MLH2	83	1648	
YLR036C	9	36	
PAU23	8	50	
COX12	14	53	
RIC1	68	615	
AFB1	44	452	
YLR041W	11	23	
YLR042C	21	196	
TRX1	13	30	
PDC1	60	624	
STU2	71	526	
YLR046C	23	103	
FRE8	95	1672	
RPS0B	13	52	
YLR049C	17	82	
YLR050C	17	123	
FCF2	28	123	
IES3	9	39	
YLR053C	19	161	
OSW2	89	1017	
SPT8	50	314	
ERG3	34	92	
MNL2	98	1180	
SHM2	42	309	
REX2	55	1311	
FRS1	55	431	
RPL22A	6	18	
BUD28	5	16	
BMT6	16	174	
PER33	16	322	
ENV10	5	5	
SPC3	17	73	
PET309	71	506	
FYV7	19	165	
MEF1	64	654	
XYL2	62	857	
RGR1	87	561	
LAM6	76	1062	
RFU1	27	242	
BUD20	17	107	
RPL10	6	21	
YLR076C	1	0	
FMP25	90	921	
BOS1	30	270	
SIC1	21	59	
EMP46	73	714	
GAL2	84	1446	
SRL2	47	732	
EMP70	51	442	
RAX2	118	993	
ARP6	73	1914	
SMC4	79	399	
CSF1	291	3183	
GAA1	81	799	
ALT1	22	224	
XDJ1	65	738	
GEP5	42	243	
SUL2	99	1839	
NYV1	44	415	
GIS3	145	2532	
IOC2	80	765	
KIN2	98	930	
HRT3	33	597	
CHA4	77	787	
ICT1	58	526	
MIM2	18	48	
ERG27	23	104	
YLR101C	15	69	
APC9	34	305	
CDC45	34	139	
LCL2	11	47	
SEN2	28	161	
MDN1	240	1493	
REX3	85	1469	
YLR108C	62	560	
AHP1	19	213	
CCW12	5	20	
YLR111W	23	305	
YLR112W	35	474	
HOG1	65	977	
AVL9	73	535	
CFT2	35	158	
MSL5	28	133	
CLF1	68	465	
YLR118C	45	555	
SRN2	39	421	
YPS1	62	493	
YLR120W-A	10	135	
YPS3	73	556	
YLR122C	18	155	
YLR123C	18	144	
YLR124W	14	163	
YLR125W	20	106	
YLR126C	20	111	
APC2	51	367	
DCN1	31	255	
DIP2	34	121	
ZRT2	85	1150	
ACE2	149	2354	
USB1	16	34	
CKI1	24	158	
PDC5	54	707	
SLX4	71	1050	
TIS11	25	186	
RKM5	93	1304	
NHA1	119	1429	
SLS1	24	79	
YLR140W	32	270	
RRN5	34	198	
PUT1	54	817	
DPH6	61	482	
ACF2	152	1881	
RMP1	6	10	
SPE4	28	127	
YLR146W-A	11	115	
SMD3	6	108	
PEP3	71	262	
YLR149C	71	673	
YLR149C-A	1	0	
STM1	6	28	
PCD1	42	526	
YLR152C	87	1371	
ACS2	43	442	
RNH203	14	69	
ART2	237	11682	
YLR154W-B	238	23449	
TAR1	240	10742	
ART3	145	4234	
YLR154W-F	106	2444	
YLR154C-G	148	5541	
YLR154C-H	46	1792	
ASP3-1	88	715	
YLR156W	42	300	
YLR156C-A	47	429	
ASP3-2	94	777	
YLR157W-D	16	25	
YLR157W-E	23	188	
YLR157C-C	39	364	
ASP3-3	84	753	
YLR159W	45	302	
YLR159C-A	44	370	
ASP3-4	80	738	
YLR161W	47	309	
YLR162W	51	830	
RRT15	27	709	
MAS1	24	185	
YLR163W-A	1	0	
SHH4	9	30	
PUS5	29	211	
SEC10	52	177	
RPS31	6	26	
UPS2	38	496	
YLR169W	24	355	
APS1	17	220	
YLR171W	14	163	
DPH5	41	473	
YLR173W	81	1078	
IDP2	47	539	
CBF5	40	175	
RFX1	47	305	
YLR177W	58	572	
TFS1	30	303	
YLR179C	42	570	
SAM1	48	461	
VTA1	41	331	
SWI6	54	382	
TOS4	45	807	
YLR184W	18	229	
RPL37A	25	97	
EMG1	15	74	
SKG3	82	787	
MDL1	73	865	
ATG26	98	722	
MMR1	47	533	
PEX13	35	375	
HCR1	15	48	
UPS1	26	141	
NCW2	24	275	
NMT1	2	1	
PWP1	55	414	
NOP56	16	100	
YLR198C	3	5	
PBA1	28	147	
YKE2	0	0	
COQ9	39	450	
YLR202C	33	578	
MSS51	54	568	
QRI5	18	93	
HMX1	41	300	
ENT2	32	187	
HRD3	85	1104	
SEC13	28	289	
PNP1	43	464	
CLB4	41	397	
ATG38	7	19	
TUB4	34	269	
CRR1	33	476	
FRE1	74	696	
CDC123	24	121	
CPR6	35	250	
YLR217W	22	128	
COA4	32	697	
MSC3	74	798	
CCC1	34	259	
RSA3	11	64	
UTP13	45	147	
YLR222C-A	7	8	
IFH1	81	1154	
UCC1	31	376	
YLR225C	36	196	
BUR2	16	70	
ADY4	43	290	
ECM22	84	1334	
CDC42	13	30	
YLR230W	5	10	
BNA5	44	334	
YLR232W	16	35	
EST1	74	442	
TOP3	80	801	
YLR235C	30	537	
YLR236C	33	531	
THI7	49	669	
FAR10	36	136	
LIP2	30	201	
VPS34	62	309	
CSC1	38	176	
ARV1	17	36	
GPN3	13	22	
MAP1	19	88	
CDD1	15	53	
ERF2	47	454	
IRC20	117	1082	
RCK2	46	166	
YEF3	49	405	
SSP120	26	113	
SYM1	17	78	
YLR252W	2	2	
MCP2	62	811	
NDL1	15	118	
YLR255C	33	323	
HAP1	276	4781	
YLR257W	22	265	
GSY2	125	1366	
HSP60	26	97	
LCB5	66	479	
VPS63	1	0	
YPT6	12	46	
TMA7	5	57	
RED1	49	388	
RPS28B	2	1	
YLR264C-A	10	26	
NEJ1	12	28	
PDR8	28	281	
BOP2	37	365	
SEC22	37	156	
YLR269C	23	311	
DCS1	36	299	
YLR271W	25	120	
YCS4	62	406	
PIG1	42	635	
MCM5	50	332	
SMD2	5	27	
DBP9	1	0	
YSH1	46	250	
YLR278C	93	862	
YLR279W	29	293	
YLR280C	24	139	
YLR281C	28	179	
YLR282C	10	23	
YLR283W	28	277	
ECI1	19	272	
NNT1	6	28	
YLR285C-A	13	89	
CTS1	18	302	
YLR286W-A	3	20	
YLR287C	20	141	
RPS30A	9	44	
MEC3	44	280	
GUF1	68	912	
COQ11	12	34	
GCD7	24	92	
SEC72	11	117	
GSP1	4	3	
YLR294C	18	177	
ATP14	3	2	
YLR296W	29	309	
YLR297W	26	257	
YHC1	36	205	
ECM38	103	1516	
YLR299C-A	5	83	
EXG1	35	296	
HRI1	16	101	
YLR302C	41	760	
MET17	57	562	
ACO1	91	774	
STT4	125	755	
UBC12	22	93	
CDA1	19	111	
YLR307C-A	8	13	
CDA2	23	367	
IMH1	35	230	
CDC25	112	913	
YLR311C	12	53	
ATG39	36	247	
MRPL15	11	35	
SPH1	35	307	
CDC3	55	286	
NKP2	12	32	
TAD3	34	117	
YLR317W	9	35	
EST2	81	1010	
BUD6	38	136	
MMS22	90	407	
SFH1	35	208	
VPS65	11	67	
CWC24	25	111	
PEX30	39	355	
RPL38	2	2	
YLR326W	52	832	
TMA10	9	78	
NMA1	69	959	
REC102	30	159	
CHS5	66	493	
JIP3	11	36	
MID2	20	117	
RPS25B	16	23	
YLR334C	11	45	
NUP2	21	63	
SGD1	47	299	
VRP1	37	398	
OPI9	13	71	
YLR339C	4	4	
RPP0	6	7	
SPO77	23	105	
FKS1	119	1000	
YLR342W-A	14	105	
GAS2	66	385	
RPL26A	25	97	
YLR345W	72	873	
CIS1	15	353	
KAP95	53	351	
YLR347W-A	3	4	
DIC1	63	1073	
YLR349W	27	233	
ORM2	25	282	
NIT3	43	473	
YLR352W	102	1667	
BUD8	56	454	
TAL1	12	92	
ILV5	35	335	
ATG33	18	128	
RSC2	65	347	
YLR358C	26	219	
ADE13	19	32	
VPS38	32	162	
DCR2	81	855	
YLR361C-A	9	29	
STE11	68	806	
NMD4	15	34	
YLR363W-A	2	1	
GRX8	3	6	
YLR365W	17	124	
YLR364C-A	8	43	
YLR366W	20	186	
RPS22B	40	503	
MDM30	39	442	
SSQ1	16	166	
ARC18	6	6	
ROM2	102	1025	
ELO3	20	75	
VID22	67	1350	
YLR374C	30	592	
STP3	32	493	
PSY3	37	211	
FBP1	47	675	
SEC61	39	240	
YLR379W	12	33	
CSR1	67	1220	
CTF3	58	303	
NAM2	48	238	
SMC6	73	487	
IKI3	90	804	
SWC7	32	508	
VAC14	63	592	
REH1	26	101	
RPS29A	3	3	
STE23	139	1410	
ECM19	22	208	
CCW14	11	129	
ART10	50	470	
ATP10	11	27	
CST9	22	111	
COX8	9	10	
VPS33	53	308	
AFG2	51	245	
SKI2	145	1069	
BDF1	40	236	
YLR399W-A	1	0	
YLR400W	37	719	
DUS3	81	862	
YLR402W	4	31	
SFP1	72	554	
SEI1	28	143	
DUS4	44	644	
RPL31B	19	205	
YLR406C-A	8	33	
YLR407W	2	2	
BLS1	16	50	
UTP21	67	471	
VIP1	87	761	
CTR3	43	492	
BER1	26	175	
YLR412C-A	4	7	
YLR413W	70	942	
PUN1	28	268	
YLR415C	38	989	
YLR416C	61	1472	
VPS36	58	257	
CDC73	26	189	
YLR419W	128	1224	
URA4	41	330	
RPN13	23	104	
DCK1	153	1529	
ATG17	20	78	
SPP382	39	336	
TUS1	98	735	
TDA5	21	52	
MAG2	46	483	
YLR428C	26	259	
CRN1	76	665	
SEN1	95	595	
ATG23	29	121	
IMD3	73	927	
CNA1	60	523	
YLR434C	30	345	
TSR2	9	13	
ECM30	120	846	
DIF1	32	365	
YLR437C-A	23	389	
CAR2	86	2020	
LSM3	0	0	
MRPL4	37	424	
SEC39	11	51	
RPS1A	19	184	
SIR3	73	515	
ECM7	48	650	
YLR444C	5	41	
GMC2	15	33	
YLR446W	47	519	
VMA6	20	105	
RPL6B	13	25	
FPR4	47	688	
HMG2	104	1044	
LEU3	41	415	
SST2	57	477	
RIF2	33	165	
FMP27	148	1144	
YLR455W	33	198	
YLR456W	30	499	
NBP1	42	278	
YLR458W	15	118	
GAB1	5	4	
YLR460C	7	16	
PAU4	12	48	
YLR462W	52	216	
YLR463C	75	531	
YLR464W	106	870	
BSC3	13	83	
YRF1-4	615	4831	
YLR466C-A	84	443	
YLR466C-B	18	269	
YRF1-5	826	7157	
YLR467C-A	76	474	
YML133C	669	5114	
YML133W-B	69	381	
YML133W-A	53	219	
COS3	54	354	
YML131W	42	413	
ERO1	45	330	
COX14	5	27	
MSC1	65	647	
RSC9	39	120	
ERG13	47	232	
PGA3	21	131	
TUB3	84	983	
PHO84	118	2651	
YML122C	52	1475	
GTR1	29	225	
NDI1	56	543	
YML119W	26	504	
NGL3	102	1662	
NAB6	118	1194	
YML116W-A	28	482	
ATR1	69	770	
VAN1	48	302	
TAF8	50	494	
DAT1	46	643	
CTK3	10	29	
BUL2	90	1038	
COQ5	36	308	
ZDS2	97	1160	
YML108W	8	13	
PML39	38	446	
URA5	23	162	
SEC65	9	17	
MDM1	54	486	
NUP188	118	679	
CAC2	78	959	
YML101C-A	30	486	
CUE4	59	1316	
YML100W-A	24	309	
TSL1	171	2120	
YML099W-A	22	323	
ARG81	116	1605	
TAF13	5	9	
VPS9	20	150	
YML096W	63	454	
RAD10	12	51	
YML094C-A	24	504	
GIM5	45	837	
UTP14	107	677	
PRE8	6	5	
RPM2	65	534	
YML090W	15	248	
YML089C	32	466	
UFO1	54	511	
AIM33	41	969	
ALO1	69	600	
TUB1	39	198	
YML084W	21	183	
YML083C	57	603	
YML082W	114	1412	
ATP18	7	47	
TDA9	108	1217	
DUS1	51	462	
YML079W	35	220	
CPR3	26	308	
BET5	5	10	
WAR1	95	1121	
HMG1	108	1155	
FPR3	32	301	
RPL6A	23	89	
TCB3	152	1690	
COG8	58	528	
DAK1	66	506	
POB3	12	133	
ITT1	34	219	
ERV41	43	474	
SMA2	62	946	
ORC1	58	493	
TEM1	15	41	
RPS1B	11	32	
MFT1	43	322	
PIF1	83	956	
OGG1	57	890	
NTE1	172	2212	
HUG1	16	110	
SML1	25	163	
YML057C-A	26	197	
CMP2	103	2004	
IMD4	68	985	
SPC2	16	69	
CYB2	123	2579	
YML054C-A	30	774	
YML053C	43	761	
SUR7	43	532	
GAL80	78	1064	
AIM32	32	293	
RSE1	144	1376	
GSF2	39	661	
YML047W-A	2	4	
PRM6	31	235	
PRP39	22	80	
RRN11	19	43	
CAT2	81	1137	
VPS71	52	1391	
YMD8	23	157	
YML037C	22	71	
CGI121	28	210	
AMD1	87	1154	
YML034C-A	27	406	
SRC1	104	1266	
RAD52	48	265	
YML031C-A	6	19	
NDC1	57	488	
RCF1	21	135	
USA1	123	2204	
TSA1	21	31	
YOX1	77	1229	
RPS18B	21	94	
YML6	41	214	
RPS17A	25	148	
NSE5	55	368	
APT1	25	142	
UNG1	85	1865	
YML020W	114	1188	
OST6	46	754	
YML018C	98	2019	
PSP2	82	618	
PPZ1	106	1226	
TAF11	25	42	
TRM9	91	1022	
UBX2	121	2447	
YML012C-A	41	1040	
ERV25	31	223	
RAD33	33	468	
SPT5	87	921	
YML009W-B	43	560	
YML009C-A	23	174	
MRPL39	27	383	
ERG6	45	187	
YML007C-A	7	36	
YAP1	80	834	
GIS4	104	1171	
TRM12	102	1411	
GLO1	94	1539	
YML003W	81	954	
YML002W	154	2267	
YPT7	22	133	
CDC5	39	192	
YMR001C-A	28	397	
MIX17	41	447	
AIM34	48	400	
MVP1	69	968	
TAF4	38	90	
PLB2	105	1699	
YMR007W	49	1074	
PLB1	70	940	
ADI1	41	610	
ANY1	26	142	
HXT2	90	1314	
CLU1	158	2070	
SEC59	25	110	
YMR013C-A	4	3	
YMR013W-A	3	16	
BUD22	42	386	
ERG5	88	783	
SOK2	64	462	
SPO20	62	646	
PEX9	75	1182	
STB4	159	2112	
FMS1	48	324	
MAC1	73	1451	
UBC7	48	825	
MSS1	72	1325	
MRPL3	45	118	
CSI1	34	267	
PEX12	41	440	
YMR027W	62	536	
TAP42	25	180	
FAR8	35	337	
RSF1	65	818	
EIS1	80	1113	
YMR031W-A	28	319	
HOF1	76	887	
YMR030W-A	10	36	
ARP9	13	21	
RCH1	69	1076	
IMP2	21	147	
MIH1	56	741	
MSN2	66	805	
CCS1	30	119	
SUB1	36	172	
YET2	25	461	
ARA2	38	292	
ARG80	97	4110	
MCM1	20	115	
IOC4	80	1118	
YMR046W-A	13	39	
NUP116	51	523	
CSM3	37	292	
ERB1	45	167	
FAR3	24	160	
YMR052C-A	16	56	
STB2	71	559	
STV1	147	1142	
BUB2	71	1748	
AAC1	73	1250	
YMR057C	44	1193	
FET3	89	770	
SEN15	7	19	
SAM37	16	40	
RNA14	33	108	
ARG7	40	128	
RIM9	46	530	
AEP1	36	194	
KAR5	71	1260	
SOV1	70	430	
UBX4	53	666	
AVO2	65	592	
NAT4	104	3552	
MOT3	14	23	
TVP18	12	138	
ABF2	14	59	
IRC21	11	117	
YMR074C	9	57	
RCO1	91	1301	
YMR075C-A	16	114	
PDS5	59	443	
VPS20	16	106	
CTF18	44	197	
SEC14	15	63	
NAM7	75	436	
ISF1	41	377	
YMR082C	17	147	
ADH3	42	632	
YMR084W	28	286	
YMR085W	57	772	
SEG1	93	1031	
YMR086C-A	17	135	
YMR087W	85	1622	
VBA1	69	860	
YTA12	75	890	
YMR090W	35	436	
NPL6	39	324	
AIP1	67	1231	
UTP15	43	152	
CTF13	17	120	
SNO1	38	248	
SNZ1	27	219	
MTG1	42	265	
ATP25	46	308	
YMR099C	46	732	
MUB1	56	763	
SRT1	31	383	
YMR102C	68	626	
YMR103C	47	752	
YPK2	61	761	
PGM2	69	870	
YMR105W-A	24	146	
YKU80	99	1141	
SPG4	38	562	
ILV2	98	850	
MYO5	190	4538	
HFD1	58	1016	
EUC1	51	658	
MED11	14	157	
FOL3	40	392	
YMR114C	59	936	
MGR3	50	330	
ASC1	22	105	
SPC24	13	30	
SHH3	24	153	
ASI1	50	381	
YMR119W-A	17	143	
ADE17	65	684	
RPL15B	19	144	
YMR122C	50	778	
YMR122W-A	10	30	
PKR1	7	8	
YMR124W	102	1126	
STO1	96	980	
DLT1	36	260	
SAS2	43	555	
ECM16	78	567	
POM152	128	2012	
YMR130W	35	247	
RRB1	29	121	
JLP2	28	144	
REC114	47	499	
ERG29	38	505	
GID8	38	223	
YMR135W-A	54	1000	
GAT2	49	605	
PSO2	77	749	
CIN4	9	46	
RIM11	44	403	
SIP5	39	493	
YMR141C	3	5	
RPL13B	7	7	
YMR141W-A	5	4	
RPS16A	21	126	
FDO1	48	780	
NDE1	63	835	
TIF34	38	289	
YMR147W	28	521	
OSW5	36	467	
SWP1	26	79	
IMP1	31	212	
YIM2	19	147	
YIM1	36	210	
NUP53	53	694	
YMR153C-A	4	10	
RIM13	44	486	
YMR155W	53	523	
TPP1	22	146	
AIM36	15	125	
MRPS8	15	61	
YMR158C-A	5	6	
YMR158W-B	24	368	
ATG16	39	603	
YMR160W	78	758	
HLJ1	32	324	
DNF3	115	872	
INP2	48	556	
MSS11	58	552	
PAH1	69	431	
MME1	45	382	
MLH1	62	422	
CEP3	38	299	
ALD3	74	647	
ALD2	62	721	
EAR1	58	442	
HOT1	57	585	
YMR172C-A	7	33	
DDR48	22	146	
YMR173W-A	21	148	
PAI3	10	31	
SIP18	23	416	
YMR175W-A	28	232	
ECM5	134	1392	
MMT1	54	756	
YMR178W	36	342	
SPT21	87	957	
CTL1	72	1321	
YMR181C	35	692	
RGM1	25	160	
YMR182W-A	2	1	
SSO2	27	323	
ADD37	18	171	
RTP1	49	359	
HSC82	45	392	
YMR187C	48	457	
MRPS17	32	140	
GCV2	96	914	
SGS1	145	1333	
SPG5	45	522	
GYL1	51	457	
MRPL24	15	36	
YMR193C-A	24	257	
RPL36A	40	381	
CMC4	19	154	
YMR194C-A	19	525	
ICY1	26	241	
YMR196W	127	1550	
VTI1	24	73	
CIK1	57	408	
CLN1	58	353	
ROT1	24	77	
RAD14	46	483	
ERG2	25	308	
TOM40	15	95	
INP1	7	40	
PFK2	51	339	
YMR206W	44	639	
HFA1	193	1819	
ERG12	31	214	
YMR209C	50	707	
YMR210W	70	919	
DML1	24	62	
EFR3	60	303	
CEF1	46	567	
SCJ1	84	1369	
GAS3	50	377	
SKY1	75	529	
GUA1	44	350	
TRS130	40	142	
ESC1	148	1898	
ERG8	37	115	
FMP42	66	1017	
FSH2	28	346	
UBP8	33	202	
MRE11	82	917	
MRPL44	44	631	
YMR226C	33	264	
TAF7	40	194	
MTF1	27	264	
RRP5	88	400	
RPS10B	45	353	
YMR230W-A	17	158	
PEP5	64	564	
FUS2	62	368	
TRI1	30	312	
RNH1	28	543	
RNA1	20	151	
TAF9	14	29	
BCH1	77	736	
DFG5	72	838	
RNT1	44	277	
CUS1	65	1157	
YHM2	51	581	
RPL20A	13	36	
YMR242W-A	2	3	
ZRC1	65	673	
YMR244W	66	1404	
COA6	11	88	
YMR245W	46	437	
FAA4	143	3018	
RKR1	95	744	
YMR247W-A	6	14	
GAD1	67	820	
GTO3	116	2691	
HOR7	4	6	
YMR252C	27	214	
YMR253C	63	912	
YMR254C	28	357	
GFD1	6	7	
COX7	4	6	
PET111	37	222	
ROY1	78	1014	
TRM732	76	654	
TIF11	1	0	
TPS3	100	1286	
YMR262W	35	280	
SAP30	4	8	
CUE1	17	350	
YMR265C	41	344	
RSN1	95	947	
PPA2	45	285	
PRP24	11	16	
TMA23	15	100	
RRN9	24	172	
URA10	36	540	
SCS7	50	683	
YMR272W-A	7	49	
YMR272W-B	6	7	
ZDS1	119	1946	
RCE1	40	307	
BUL1	54	424	
DSK2	46	705	
FCP1	45	225	
PRM15	49	389	
YMR279C	58	737	
CAT8	147	1904	
GPI12	11	45	
AEP2	45	134	
RIT1	35	163	
YKU70	53	372	
NGL2	82	773	
MRPL33	8	18	
DSS1	56	175	
HSH155	53	382	
ABZ2	43	236	
HAS1	16	59	
YMR290W-A	7	63	
TDA1	38	359	
GOT1	24	261	
HER2	59	460	
JNM1	22	81	
YMR294W-A	1	0	
YMR295C	21	345	
LCB1	46	426	
PRC1	72	795	
LIP1	6	8	
DYN3	11	63	
ADE4	20	214	
ATM1	51	219	
YME2	105	1076	
ADH2	29	318	
UBP15	79	712	
YMR304C-A	16	177	
SCW10	39	484	
FKS3	192	2307	
YMR306C-A	20	70	
GAS1	11	94	
YMR307C-A	1	0	
PSE1	55	377	
NIP1	46	276	
YMR310C	26	205	
GLC8	28	160	
ELP6	16	23	
TGL3	65	856	
PRE5	20	35	
YMR315W	48	444	
YMR315W-A	11	204	
DIA1	48	409	
YMR316C-A	14	100	
YMR316C-B	5	15	
YMR317W	62	661	
ADH6	61	773	
FET4	63	570	
YMR320W	18	266	
YMR321C	1	0	
SNO4	35	233	
ERR3	41	301	
YMR324C	16	160	
PAU19	7	51	
YMR326C	1	0	
YRF1-6	826	6403	
YNL339W-B	70	430	
YNL339W-A	48	198	
YNL338W	19	119	
YNL337W	16	50	
COS1	67	653	
DDI3	46	518	
SNO2	50	945	
SNZ2	52	406	
THI12	56	613	
AAD14	53	907	
RPD3	36	161	
PEX6	86	613	
MDJ2	33	344	
EGT2	54	513	
PFA3	40	245	
FIG4	90	1074	
YNL324W	15	166	
LEM3	36	155	
KRE1	25	124	
VNX1	129	2241	
YNL320W	39	603	
YNL319W	9	38	
HXT14	43	213	
PFS2	39	306	
PHA2	24	176	
ATP11	21	166	
DAL82	34	388	
EMW1	52	267	
RFA2	8	38	
SKP2	50	434	
ZIM17	20	163	
STB1	77	1048	
KRI1	22	37	
MCK1	32	420	
MRPS18	13	31	
BXI1	35	362	
YPT11	62	903	
YNL303W	8	19	
RPS19B	9	10	
RPL18B	30	283	
TOS6	13	276	
TRF5	48	539	
CLA4	49	317	
MON2	95	659	
YNL296W	12	75	
MRX6	61	609	
RIM21	50	567	
MSB3	87	904	
PUS4	48	377	
MID1	51	682	
RFC3	35	183	
PCL1	40	681	
CAF40	52	946	
SEC21	62	383	
CUS2	39	265	
YNL285W	63	1756	
MRPL10	22	105	
WSC2	30	225	
POP3	33	446	
HCH1	20	161	
ERG24	31	168	
PRM1	106	1670	
CAF120	197	4276	
YNL277W-A	35	704	
MET2	45	713	
YNL276C	18	254	
BOR1	56	1010	
GOR1	37	519	
TOF1	66	406	
SEC2	47	439	
BNI1	67	348	
ALP1	63	480	
BSC4	39	856	
LYP1	85	965	
PIK1	61	273	
YNL266W	7	10	
IST1	37	575	
PDR17	75	1145	
YIF1	29	177	
POL2	189	1097	
ORC5	10	27	
LTO1	7	12	
ATX1	7	23	
DSL1	57	641	
SIP3	108	1083	
FOL1	60	499	
GIS2	31	603	
RTC4	29	144	
TEX1	70	959	
MRPL17	17	72	
NRD1	33	208	
RAD50	80	479	
MPA43	44	819	
RPA49	8	15	
YNL247W	68	490	
VPS75	24	146	
CWC25	13	79	
SUI1	17	90	
SLA2	80	516	
ATG2	150	1315	
ZWF1	86	977	
NAR1	49	434	
LAP3	64	752	
KEX2	80	367	
YTP1	63	544	
SIN4	69	397	
YNL235C	26	323	
YNL234W	74	1066	
BNI4	64	451	
CSL4	13	57	
PDR16	69	1284	
ELA1	74	1427	
URE2	25	83	
YNL228W	41	381	
JJJ1	67	640	
YNL226W	29	433	
CNM67	29	86	
SQS1	84	759	
ATG4	30	280	
SSU72	9	22	
POP1	83	620	
ADE12	16	26	
ALG9	50	662	
MGS1	68	601	
YNL217W	60	1101	
RAP1	99	562	
IES2	13	27	
PEX17	18	63	
RRG9	10	20	
VID27	36	317	
MRX7	17	153	
MER1	18	59	
SSB2	44	280	
YNL208W	16	75	
RIO2	22	50	
RTT106	31	252	
YNL205C	27	375	
SPS18	22	352	
YNL203C	29	857	
SPS19	46	636	
PSY2	44	235	
NNR1	31	247	
GCR2	55	307	
YNL198C	12	57	
WHI3	39	430	
SLZ1	57	924	
YNL195C	44	694	
YNL194C	37	236	
YNL193W	60	362	
CHS1	78	604	
DUG3	45	627	
YNL190W	29	441	
SRP1	10	50	
KAR1	10	26	
SWT21	60	1264	
UBP10	88	818	
MRPL19	17	40	
YNL184C	12	87	
NPR1	85	1286	
IPI3	37	153	
YNL181W	22	74	
RHO5	15	20	
YNL179C	40	469	
RPS3	0	0	
MRPL22	20	93	
TDA7	73	1038	
NOP13	59	685	
YNL174W	10	71	
MDG1	29	440	
APC1	149	1100	
YNL171C	15	40	
YNL170W	19	81	
PSD1	63	340	
FMP41	35	400	
SKO1	38	309	
BNI5	28	297	
YNL165W	70	1246	
IBD2	35	374	
RIA1	70	593	
YNL162W-A	5	5	
RPL42A	25	128	
CBK1	65	537	
YGP1	40	262	
ASI2	18	41	
PGA1	16	26	
IGO1	15	31	
NSG2	53	585	
CUZ1	33	289	
YCK2	96	939	
GIM3	17	190	
INN1	25	126	
RPC31	18	46	
YNL150W	4	3	
PGA2	9	10	
ALF1	93	3071	
LSM7	9	12	
YNL146C-A	20	380	
YNL146W	14	99	
MFA2	7	33	
YNL144C	119	1952	
YNL144W-A	4	3	
YNL143C	42	456	
MEP2	89	1815	
AAH1	42	504	
YNL140C	10	59	
THO2	57	306	
YSF3	17	92	
SRV2	20	95	
NAM9	65	559	
EAF7	40	343	
FPR1	10	35	
YNL134C	47	394	
FYV6	22	199	
KRE33	42	406	
TOM22	4	3	
CPT1	50	445	
DGR1	5	13	
NRK1	25	139	
TEP1	55	1005	
FAR11	75	397	
SPC98	87	388	
ESBP6	107	1446	
NAF1	36	222	
NMA111	110	1709	
YNL122C	20	350	
TOM70	64	723	
YNL120C	5	5	
NCS2	39	232	
DCP2	67	464	
MLS1	124	2140	
DMA2	90	1362	
YNL115C	60	594	
YNL114C	7	51	
RPC19	6	7	
DBP2	68	308	
CYB5	5	8	
NOP15	14	26	
YNL109W	14	130	
YNL108C	40	742	
YAF9	44	358	
INP52	155	1741	
RRT16	34	254	
LEU4	76	928	
YNL103W-A	3	12	
MET4	31	146	
POL1	155	1465	
AVT4	119	1326	
MIC27	30	296	
OCA1	36	448	
RAS2	24	80	
YNL097C-B	19	215	
PHO23	45	508	
YNL097W-A	5	6	
RPS7B	49	291	
YNL095C	38	345	
