Gene name	Number of transposons per gene	Number of reads per gene
NOP8	35	468
PSF3	19	307
DCP1	7	40
UTP23	24	337
HSP10	0	0
DBP5	72	1720
RAT1	61	722
NOB1	55	654
SGT1	41	341
SLD7	42	742
RPL3	22	273
CDC21	51	1114
UFE1	24	361
RTS2	15	109
RKI1	31	340
NUP1	44	546
YOR102W	12	24
OST2	10	20
VAM3	18	313
TFC7	19	206
RPO31	122	2170
RPT5	44	951
RIO1	51	982
PFY1	11	67
THI80	49	572
YOR146W	4	4
SPP2	9	9
SMP3	46	593
RPB2	147	1855
PDR5	145	2634
PUP1	46	929
SME1	22	211
MTR10	59	852
GLN4	88	1557
YOR169C	6	62
MED4	45	1015
HEM15	73	1478
LAS17	18	85
TOA1	11	16
YOR203W	4	18
DED1	51	928
NOC2	68	1297
RET1	110	1721
RPB10	11	19
RFC1	83	1370
YOR218C	3	3
RPB8	25	395
WTM2	44	565
MGE1	27	222
KIN4	107	1691
DFR1	40	1386
ESA1	49	1030
APC5	31	194
CLP1	32	728
SEC63	66	1071
TRE2	69	992
CDC31	2	1
RPT4	44	897
GCD1	67	1407
RPN8	21	65
GPN2	41	691
FSF1	37	235
YTM1	24	260
HEM4	28	435
PLP2	33	164
YOR282W	10	43
RRP36	15	94
RRS1	9	164
NOP58	27	413
HSH49	7	32
MYO2	134	2596
SCD5	69	980
ALA1	137	2452
KRE5	161	2632
RPA43	30	362
RPA190	108	1731
SOG2	94	2077
PRT1	92	1212
PRE10	18	97
MRS6	55	1048
NDD1	32	374
NUD1	89	1611
TFC8	28	543
RET3	12	147
TAF3	64	839
RRP12	120	2137
SWI1	95	1784
ULP1	28	421
ERG10	33	262
NOP4	85	1276
TIM50	51	724
GCR1	46	957
GPI2	32	245
MOT1	205	4674
SEN54	33	404
SEC16	173	3068
NOG1	85	1941
SEC62	56	1275
IDI1	52	1072
TFB2	61	414
SPC29	24	378
NAN1	70	898
TBF1	24	294
RPL5	22	203
GIP3	134	2042
YPL142C	3	3
RPL33A	20	382
NOP53	27	145
PRP46	75	1866
RAD53	80	1287
CDC60	98	1884
MEX67	51	899
SPT14	80	1660
NAB3	76	1023
TPK2	51	894
HRR25	76	1827
TYW1	66	1101
IPL1	23	89
SRP72	52	457
NIP7	25	370
BMS1	125	2044
SAR1	31	314
CET1	35	535
FAS2	166	2997
NSL1	36	441
RVB2	78	1543
SUI3	12	115
YPL238C	2	1
IQG1	117	2479
SRP68	16	91
YPL251W	4	4
YAH1	13	245
BBP1	45	831
DIM1	60	545
RPA135	123	2972
TIF6	6	17
MCM4	112	2246
CCL1	26	189
HTS1	64	1036
ARP7	64	839
GLN1	65	1383
TIP41	57	793
TIF5	49	790
TAH18	51	737
SEC8	106	1369
TFB4	37	513
DIB1	41	823
ASA1	22	121
SUA7	47	863
SRP54	47	442
RDS3	12	196
PRE2	43	981
FHL1	52	609
COG4	67	1105
YTH1	47	568
RPN7	31	604
RPC40	44	681
DBF20	44	948
MRD1	91	1405
PIS1	34	499
CLB5	40	382
CTR1	79	1730
YLH47	59	825
SPN1	26	274
YPR136C	9	163
RRP9	38	647
YPR142C	14	129
RRP15	14	105
NOC4	65	864
SGV1	73	949
ORC4	46	573
RHO1	7	28
NUT2	17	204
JIP5	64	1614
DPB2	77	1161
BET2	27	246
YPR177C	48	611
PRP4	150	3506
AOS1	11	109
SEC23	108	2058
SMX3	1	0
DPM1	39	1001
PZF1	28	498
RPO26	30	754
RPC82	65	1537
