Gene name	Number of transposons per gene	Number of reads per gene
ALR1	47	601
HRT1	15	171
YOL134C	22	391
MED7	15	33
CDC33	4	7
NOP8	19	160
PSF3	8	26
DCP1	4	4
UTP23	20	72
HSP10	1	0
DBP5	28	136
RAT1	24	158
NOB1	28	283
SGT1	23	154
SLD7	21	89
RPL3	14	85
CDC21	19	168
UFE1	15	87
RTS2	26	83
RKI1	11	28
NUP1	21	96
YOR102W	4	4
OST2	3	3
VAM3	9	37
TFC7	12	48
RPO31	55	321
RPT5	18	149
RIO1	18	51
PFY1	4	6
THI80	21	89
YOR146W	4	3
SPP2	14	107
SMP3	12	48
RPB2	31	206
PDR5	112	1118
PUP1	18	79
SME1	9	64
MTR10	25	103
GLN4	29	132
YOR169C	5	21
MED4	15	84
HEM15	34	415
LAS17	33	240
TOA1	7	6
YOR203W	24	183
DED1	17	72
NOC2	26	133
RET1	43	183
RPB10	3	2
RFC1	57	328
YOR218C	6	11
RPB8	7	21
WTM2	85	1052
MGE1	11	38
KIN4	53	507
DFR1	20	98
ESA1	18	118
APC5	6	13
CLP1	23	87
SEC63	25	88
TRE2	18	85
CDC31	1	0
RPT4	19	80
GCD1	23	102
RPN8	1	0
GPN2	22	92
FSF1	57	541
YTM1	13	72
HEM4	9	55
PLP2	18	54
YOR282W	27	278
RRP36	6	17
RRS1	6	12
NOP58	7	20
HSH49	4	3
MYO2	47	415
SCD5	28	168
ALA1	42	225
KRE5	56	511
RPA43	9	25
RPA190	31	206
SOG2	46	351
PRT1	41	353
PRE10	9	41
MRS6	23	163
NDD1	18	77
NUD1	25	228
TFC8	12	132
RET3	7	26
TAF3	30	189
RRP12	39	272
SWI1	35	183
ULP1	25	91
ERG10	8	33
NOP4	47	316
TIM50	25	199
GCR1	25	125
GPI2	9	27
MOT1	86	769
SEN54	12	33
SEC16	83	2022
NOG1	36	359
SEC62	25	133
IDI1	21	184
TFB2	16	55
SPC29	7	38
NAN1	27	149
TBF1	11	27
RPL5	9	13
GIP3	97	861
YPL142C	1	0
RPL33A	8	28
NOP53	12	18
PRP46	43	368
RAD53	44	209
CDC60	34	242
MEX67	21	176
SPT14	41	305
NAB3	31	155
TPK2	28	150
HRR25	28	234
TYW1	72	787
IPL1	16	103
SRP72	16	59
NIP7	17	145
BMS1	39	286
SAR1	11	12
CET1	12	78
FAS2	53	306
NSL1	20	100
RVB2	33	210
SUI3	4	4
YPL238C	2	1
IQG1	46	282
SRP68	7	19
YPL251W	5	49
YAH1	10	78
BBP1	19	100
DIM1	14	54
RPA135	44	406
TIF6	4	11
MCM4	35	161
CCL1	18	144
HTS1	27	145
ARP7	22	197
GLN1	22	210
TIP41	30	112
TIF5	14	58
TAH18	16	101
SEC8	65	560
TFB4	17	96
DIB1	15	104
ASA1	8	10
SUA7	19	107
SRP54	18	175
RDS3	4	11
PRE2	24	105
FHL1	35	226
COG4	29	153
YTH1	17	125
RPN7	19	55
RPC40	14	49
DBF20	65	782
MRD1	30	275
PIS1	19	133
CLB5	54	603
CTR1	54	594
YLH47	43	448
SPN1	10	14
YPR136C	4	18
RRP9	20	121
YPR142C	32	463
RRP15	7	28
NOC4	31	233
SGV1	39	113
ORC4	16	41
RHO1	1	0
NUT2	17	258
JIP5	31	156
DPB2	25	219
BET2	6	8
YPR177C	13	53
PRP4	44	342
AOS1	7	16
SEC23	39	188
SMX3	0	0
DPM1	17	87
PZF1	16	101
RPO26	12	96
RPC82	27	127
