Gene name	Number of transposons per gene	Number of reads per gene
RNA1	10	9
TAF9	3	2
RNT1	12	15
CUS1	26	32
TIF11	0	0
PRP24	4	3
RRN9	12	14
FCP1	6	6
GPI12	3	2
HSH155	18	20
HAS1	9	9
YMR290W-A	2	1
LCB1	26	30
LIP1	4	3
ATM1	18	20
PSE1	10	10
NIP1	18	24
PRE5	4	3
RLP7	1	0
LST8	1	0
SIS1	9	17
ARK1	31	37
KSH1	9	9
SAM50	10	10
GPI15	5	6
BDP1	16	22
NOP2	17	21
GCD10	10	13
IMP4	6	5
TOP2	10	11
POL1	44	51
MET4	11	11
NOP15	3	2
DBP2	21	24
RPC19	1	0
YNL114C	0	0
DCP2	10	12
NAF1	5	5
SPC98	15	14
TOM22	0	0
KRE33	13	15
NAM9	8	8
YSF3	5	4
PGA2	1	0
YNL150W	1	0
RPC31	9	9
INN1	9	9
PGA1	4	3
CBK1	19	27
RPL42A	10	16
RIA1	26	32
APC1	60	74
RPS3	0	0
YNL181W	7	6
IPI3	7	11
KAR1	3	2
SRP1	3	2
RIO2	6	5
RAP1	30	35
POP1	29	36
SSU72	3	2
CSL4	9	10
NAR1	13	15
SUI1	8	8
CWC25	3	2
YNL247W	28	31
NRD1	24	24
FOL1	17	21
DSL1	18	29
LTO1	2	1
ORC5	3	2
POL2	78	96
YIF1	18	56
PIK1	23	24
SEC2	17	64
POP3	13	33
SEC21	19	21
RFC3	10	11
MRPS18	1	0
KRI1	7	6
ZIM17	7	6
RFA2	1	0
EMW1	28	34
PFS2	9	10
RPC34	6	5
PRP2	34	46
ACC1	63	83
TIM23	13	13
SEC12	12	18
ARC35	11	13
DBP6	10	13
MVD1	4	3
TRM112	10	9
NOG2	13	18
ESF2	10	12
RPB11	1	0
RCL1	9	8
DIS3	27	33
TSR4	4	3
MIM1	2	1
SMC5	30	44
PRE6	6	8
RPS15	9	10
RIB2	26	40
NUF2	10	12
BRX1	8	10
AVO1	35	47
RFC4	9	9
WRS1	19	21
TPT1	5	4
RPL18A	9	11
HRP1	6	5
RPL25	1	0
ALR1	28	37
HRT1	19	1724
YOL134C	11	12
MED7	11	42
CDC33	0	0
NOP8	11	13
PSF3	3	2
DCP1	0	0
UTP23	7	15
HSP10	0	0
DBP5	9	10
RAT1	15	17
NOB1	17	22
SGT1	9	9
SLD7	11	12
RPL3	7	7
CDC21	16	19
UFE1	7	7
RTS2	3	2
RKI1	10	9
NUP1	10	9
YOR102W	3	2
OST2	2	1
VAM3	4	4
TFC7	2	2
RPO31	25	29
RPT5	11	16
RIO1	13	13
PFY1	2	1
THI80	12	13
YOR146W	1	0
SPP2	3	2
SMP3	12	18
RPB2	29	36
PDR5	41	61
PUP1	11	10
SME1	5	5
MTR10	20	25
GLN4	22	22
YOR169C	2	1
MED4	17	387
HEM15	13	12
LAS17	12	39
TOA1	4	3
YOR203W	2	1
DED1	12	15
NOC2	6	9
RET1	17	17
RPB10	2	1
RFC1	28	46
YOR218C	1	0
RPB8	8	7
WTM2	10	30
MGE1	10	9
KIN4	34	45
DFR1	9	10
ESA1	12	13
APC5	6	5
CLP1	6	7
SEC63	13	14
TRE2	16	15
CDC31	1	0
RPT4	11	11
GCD1	14	15
RPN8	3	3
GPN2	9	8
FSF1	11	12
YTM1	6	6
HEM4	7	7
PLP2	9	8
YOR282W	6	7
RRP36	2	1
RRS1	3	6
NOP58	7	8
HSH49	0	0
MYO2	35	44
SCD5	21	22
ALA1	38	46
KRE5	28	31
RPA43	8	7
RPA190	20	20
SOG2	21	27
PRT1	29	43
PRE10	6	5
MRS6	17	16
NDD1	7	8
NUD1	25	28
TFC8	4	4
RET3	3	2
