Gene name	Number of transposons per gene	Number of reads per gene
RSC4	23	125
NTR2	15	58
RPC37	9	27
SPC34	17	107
KAE1	14	81
RPS21A	11	51
TFA2	2	1
LAS1	16	111
BET3	13	80
DRE2	17	83
TRZ1	32	143
RPF2	9	27
DAD2	4	4
PRP16	42	285
SFI1	32	397
ORC3	18	84
DRS1	28	137
SOF1	25	118
DPS1	22	145
GPI13	26	266
RIX7	21	103
GRC3	9	61
PRP19	6	21
YLL037W	14	51
COF1	4	45
NOC3	17	70
SSL1	25	181
NSE1	28	262
PAM18	3	3
RLP24	2	2
TEN1	0	0
GAT3	18	70
SDO1	20	124
SED5	8	23
RPL15A	8	22
RSC58	6	26
STU2	49	235
FCF2	22	187
REX2	81	1667
FRS1	26	200
SPC3	6	29
RGR1	51	448
RPL10	2	1
YLR076C	2	1
BOS1	14	166
SMC4	32	187
GAA1	38	273
HRT3	23	297
MIM2	6	22
ERG27	11	49
YLR101C	8	38
CDC45	12	42
SEN2	9	33
MDN1	132	1023
CFT2	8	126
MSL5	30	151
CLF1	40	258
APC2	20	117
DIP2	12	76
USB1	5	6
YLR140W	24	233
RRN5	10	103
RMP1	3	2
SMD3	2	10
ACS2	23	212
MAS1	20	166
SEC10	15	110
RPS31	5	8
CBF5	21	156
EMG1	5	47
NMT1	2	1
PWP1	36	319
NOP56	5	26
YLR198C	1	0
SEC13	14	155
TUB4	14	117
CDC123	10	92
CCC1	22	130
UTP13	26	110
IFH1	63	718
CDC42	8	16
YLR230W	7	16
GPN3	4	7
YEF3	18	224
HSP60	7	33
YCS4	35	188
MCM5	21	118
SMD2	4	9
DBP9	2	1
YSH1	21	138
GCD7	8	32
YHC1	14	52
STT4	64	466
CDC25	46	320
CDC3	27	177
TAD3	17	60
YLR317W	4	4
SFH1	40	321
CWC24	15	136
RPS25B	6	17
SGD1	37	205
YLR339C	1	0
RPP0	1	0
RPL26A	12	46
KAP95	25	230
ILV5	14	90
ADE13	7	10
STP3	35	382
SEC61	23	215
YLR379W	5	9
AFG2	20	110
SFP1	35	304
UTP21	27	97
SPP382	25	287
SEN1	62	629
LSM3	0	0
SEC39	7	19
NBP1	21	106
YLR458W	5	15
GAB1	1	0
SPT5	53	519
TAF11	17	91
NSE5	24	149
YML6	26	143
NDC1	28	419
RRN11	5	26
PRP39	12	38
RSE1	90	794
TEM1	5	7
ORC1	24	170
ITT1	25	142
POB3	8	42
BET5	4	4
TUB1	10	25
RPM2	33	167
PRE8	5	5
UTP14	48	295
TAF13	0	0
SEC65	8	18
TAF8	31	283
PGA3	14	87
ERG13	31	273
RSC9	20	105
MSC1	38	347
ERO1	21	112
CDC5	14	77
TAF4	11	15
SEC59	17	208
TAP42	10	58
HOF1	50	608
ARP9	8	25
MCM1	15	35
NUP116	43	217
ERB1	27	89
SEN15	3	4
RNA14	13	61
MOT3	10	26
TVP18	14	88
PDS5	32	159
SEC14	7	78
UTP15	23	119
CTF13	12	63
MED11	5	14
FOL3	21	214
SPC24	4	16
ECM16	40	208
RRB1	16	39
ERG29	17	101
PSO2	51	466
TIF34	15	226
SWP1	9	31
MSS11	48	312
CEP3	27	197
SPT21	44	362
RTP1	30	138
VTI1	8	50
CIK1	28	209
ROT1	11	66
TOM40	2	21
ERG12	19	75
DML1	11	31
CEF1	24	206
TRS130	19	78
ERG8	38	353
TAF7	18	88
RRP5	39	229
RNA1	12	74
TAF9	1	0
RNT1	21	112
CUS1	41	478
TIF11	0	0
PRP24	5	5
RRN9	15	55
FCP1	17	35
GPI12	8	8
HSH155	40	464
HAS1	13	49
YMR290W-A	10	18
LCB1	22	185
LIP1	4	3
ATM1	29	183
PSE1	24	172
NIP1	21	167
PRE5	6	31
RLP7	4	17
LST8	5	44
SIS1	9	31
ARK1	84	1023
KSH1	5	19
SAM50	8	32
GPI15	8	17
BDP1	16	97
NOP2	30	361
GCD10	23	516
IMP4	8	31
TOP2	34	154
POL1	74	666
MET4	29	196
NOP15	9	17
DBP2	33	211
RPC19	1	0
YNL114C	9	58
DCP2	32	270
NAF1	22	150
SPC98	28	255
TOM22	0	0
KRE33	26	187
NAM9	45	294
YSF3	10	30
PGA2	3	3
YNL150W	1	0
RPC31	8	41
INN1	6	46
PGA1	7	9
CBK1	31	238
RPL42A	6	40
RIA1	34	218
APC1	68	594
RPS3	0	0
YNL181W	13	34
IPI3	24	125
KAR1	10	18
SRP1	5	8
RIO2	19	126
RAP1	51	294
POP1	37	332
SSU72	5	17
CSL4	9	31
NAR1	27	166
SUI1	8	25
CWC25	7	12
YNL247W	29	287
NRD1	19	72
FOL1	25	281
DSL1	26	536
LTO1	3	3
ORC5	6	5
POL2	92	763
YIF1	15	60
PIK1	23	133
SEC2	26	130
POP3	26	245
SEC21	25	114
RFC3	14	103
MRPS18	11	24
KRI1	11	17
ZIM17	11	57
RFA2	7	7
EMW1	32	151
PFS2	15	75
RPC34	19	115
PRP2	42	403
ACC1	85	604
TIM23	11	87
SEC12	18	100
ARC35	14	127
DBP6	12	77
MVD1	7	22
TRM112	9	39
NOG2	8	18
ESF2	17	132
RPB11	3	5
RCL1	22	169
DIS3	36	198
TSR4	4	36
MIM1	8	40
SMC5	41	455
PRE6	9	24
RPS15	7	40
RIB2	39	420
NUF2	15	47
BRX1	15	121
AVO1	60	537
RFC4	13	82
WRS1	26	133
TPT1	5	27
RPL18A	13	62
HRP1	10	41
RPL25	3	3
ALR1	34	322
HRT1	10	179
YOL134C	29	394
MED7	11	93
CDC33	2	1
NOP8	23	92
PSF3	7	68
DCP1	8	9
UTP23	19	77
HSP10	0	0
DBP5	24	136
RAT1	21	142
NOB1	32	186
SGT1	17	90
SLD7	24	133
RPL3	4	14
CDC21	18	155
UFE1	8	32
RTS2	24	83
RKI1	5	33
NUP1	22	95
YOR102W	2	1
OST2	0	0
VAM3	10	43
TFC7	17	74
RPO31	30	151
RPT5	19	169
RIO1	19	61
PFY1	7	9
THI80	16	51
YOR146W	1	0
SPP2	8	16
SMP3	13	68
RPB2	35	270
PDR5	90	1164
PUP1	10	68
SME1	8	76
MTR10	26	84
GLN4	20	77
YOR169C	3	2
MED4	14	85
HEM15	24	298
LAS17	23	130
TOA1	3	6
YOR203W	22	114
