Gene name	Number of transposons per gene	Number of reads per gene
FHL1	78	1582
COG4	53	428
YTH1	28	135
RPN7	19	173
RPC40	25	153
DBF20	72	1719
MRD1	61	537
PIS1	25	200
CLB5	53	639
CTR1	75	1914
YLH47	58	1475
SPN1	22	87
YPR136C	8	41
RRP9	35	266
YPR142C	31	716
RRP15	13	136
NOC4	49	406
SGV1	76	735
ORC4	23	96
RHO1	4	3
NUT2	22	705
JIP5	47	654
DPB2	49	458
BET2	13	37
YPR177C	22	321
PRP4	74	1122
AOS1	13	15
SEC23	49	364
SMX3	2	1
DPM1	27	310
PZF1	18	112
RPO26	27	432
RPC82	31	244
