Gene name	Number of transposons per gene	Number of reads per gene
RVB2	55	561
SUI3	5	12
YPL238C	1	0
IQG1	103	899
SRP68	14	41
YPL251W	11	13
YAH1	14	116
BBP1	32	194
DIM1	34	136
RPA135	97	1254
TIF6	3	8
MCM4	67	566
CCL1	43	217
HTS1	44	277
ARP7	40	367
GLN1	53	763
TIP41	35	170
TIF5	29	142
TAH18	37	230
SEC8	120	1867
TFB4	27	231
DIB1	28	239
ASA1	15	18
SUA7	23	176
SRP54	34	270
RDS3	8	37
PRE2	22	232
FHL1	56	401
COG4	58	440
YTH1	42	263
RPN7	19	88
RPC40	34	341
DBF20	47	867
MRD1	74	675
PIS1	40	446
CLB5	54	592
CTR1	72	828
YLH47	65	609
SPN1	12	62
YPR136C	5	11
RRP9	37	321
YPR142C	34	218
RRP15	21	174
NOC4	43	299
SGV1	52	341
ORC4	35	167
RHO1	4	6
NUT2	22	189
JIP5	39	341
DPB2	48	534
BET2	20	60
YPR177C	30	238
PRP4	89	1184
AOS1	12	32
SEC23	60	311
SMX3	0	0
DPM1	30	390
PZF1	28	190
RPO26	26	316
RPC82	34	392
