Gene name	Number of transposons per gene	Number of reads per gene
WTM2	69	2473
MGE1	3	5
KIN4	44	1458
DFR1	18	258
ESA1	6	43
APC5	4	14
CLP1	12	201
SEC63	9	167
TRE2	22	396
CDC31	0	0
RPT4	14	253
GCD1	18	167
RPN8	4	10
GPN2	12	133
FSF1	13	256
YTM1	8	53
HEM4	5	36
PLP2	3	18
YOR282W	17	383
RRP36	6	15
RRS1	6	63
NOP58	7	79
HSH49	4	9
MYO2	25	605
SCD5	22	308
ALA1	27	321
KRE5	27	432
RPA43	3	3
RPA190	7	42
SOG2	38	819
PRT1	18	224
PRE10	4	33
MRS6	12	167
NDD1	16	217
NUD1	18	323
TFC8	7	36
RET3	11	171
TAF3	52	1378
RRP12	32	288
SWI1	59	551
ULP1	33	454
ERG10	4	10
NOP4	20	212
TIM50	7	95
GCR1	37	692
GPI2	9	72
MOT1	38	651
SEN54	5	55
SEC16	35	381
NOG1	13	181
SEC62	12	157
IDI1	11	126
TFB2	9	74
SPC29	2	7
NAN1	10	97
TBF1	8	35
RPL5	3	7
GIP3	54	796
YPL142C	2	20
RPL33A	8	76
NOP53	11	280
PRP46	34	704
RAD53	19	334
CDC60	10	118
MEX67	7	26
SPT14	16	269
NAB3	8	27
TPK2	35	1121
HRR25	32	430
TYW1	53	868
IPL1	3	18
SRP72	12	149
NIP7	3	13
BMS1	26	446
SAR1	6	10
CET1	15	172
FAS2	19	194
NSL1	3	10
RVB2	12	124
SUI3	1	0
YPL238C	0	0
IQG1	39	523
SRP68	2	6
YPL251W	0	0
YAH1	4	86
BBP1	10	77
DIM1	8	243
RPA135	16	273
TIF6	7	91
MCM4	35	723
CCL1	6	94
HTS1	5	65
ARP7	38	1444
GLN1	16	241
TIP41	44	1071
TIF5	11	167
TAH18	13	119
SEC8	28	303
TFB4	3	14
DIB1	6	128
ASA1	0	0
SUA7	11	168
SRP54	9	161
RDS3	8	12
PRE2	10	89
FHL1	35	711
COG4	12	107
YTH1	5	17
RPN7	10	181
RPC40	9	176
DBF20	39	1011
MRD1	13	117
PIS1	6	27
CLB5	49	1516
CTR1	27	278
YLH47	35	1071
SPN1	9	66
YPR136C	3	12
RRP9	12	186
YPR142C	21	239
RRP15	5	14
NOC4	11	249
SGV1	33	607
ORC4	6	54
RHO1	0	0
NUT2	7	61
JIP5	30	507
DPB2	14	190
BET2	4	13
YPR177C	10	172
PRP4	25	349
AOS1	5	44
SEC23	25	268
SMX3	0	0
DPM1	6	10
PZF1	6	104
RPO26	4	47
RPC82	21	391
