Gene name	Number of transposons per gene	Number of reads per gene
YLR198C	1	0
SEC13	14	125
TUB4	15	79
CDC123	8	53
CCC1	8	30
UTP13	29	167
IFH1	36	328
CDC42	3	7
YLR230W	3	2
GPN3	3	13
YEF3	22	175
HSP60	14	62
YCS4	28	231
MCM5	25	105
SMD2	4	10
DBP9	2	1
YSH1	19	168
GCD7	11	54
YHC1	7	22
STT4	60	539
CDC25	46	473
CDC3	25	128
TAD3	16	57
YLR317W	6	15
SFH1	15	73
CWC24	13	111
RPS25B	3	3
SGD1	29	182
YLR339C	0	0
RPP0	1	0
RPL26A	1	0
KAP95	24	194
ILV5	16	112
ADE13	4	7
STP3	11	68
SEC61	22	166
YLR379W	4	11
AFG2	18	106
SFP1	37	489
UTP21	33	197
SPP382	17	93
SEN1	42	338
LSM3	0	0
SEC39	7	24
NBP1	17	83
YLR458W	5	12
GAB1	1	0
SPT5	30	224
TAF11	6	30
NSE5	26	186
YML6	6	17
NDC1	27	224
RRN11	5	7
PRP39	11	23
RSE1	61	574
TEM1	6	21
ORC1	26	222
ITT1	4	16
POB3	2	18
BET5	3	3
TUB1	16	84
RPM2	30	144
PRE8	0	0
UTP14	37	255
TAF13	0	0
SEC65	2	1
TAF8	17	79
PGA3	20	250
ERG13	22	175
RSC9	22	182
MSC1	12	27
ERO1	21	200
CDC5	15	113
TAF4	5	4
SEC59	8	49
TAP42	14	141
HOF1	17	206
ARP9	4	5
MCM1	4	15
NUP116	19	91
ERB1	16	67
SEN15	4	26
RNA14	12	48
MOT3	2	6
TVP18	1	0
PDS5	20	131
SEC14	4	14
UTP15	25	136
CTF13	13	148
MED11	4	6
FOL3	15	152
SPC24	7	24
ECM16	43	380
RRB1	19	107
ERG29	7	32
PSO2	13	78
TIF34	15	102
SWP1	10	53
MSS11	12	70
CEP3	28	240
SPT21	30	223
RTP1	20	254
VTI1	4	17
CIK1	18	93
ROT1	11	98
TOM40	4	8
ERG12	18	155
DML1	12	29
CEF1	14	238
TRS130	17	49
ERG8	14	117
TAF7	15	66
RRP5	38	303
RNA1	14	75
TAF9	3	5
RNT1	21	78
CUS1	21	143
TIF11	0	0
PRP24	2	3
RRN9	11	54
FCP1	14	37
GPI12	3	3
HSH155	26	125
HAS1	14	87
YMR290W-A	0	0
LCB1	23	265
LIP1	3	3
ATM1	26	236
PSE1	25	162
NIP1	31	231
PRE5	6	52
RLP7	1	0
LST8	4	13
SIS1	10	48
ARK1	28	254
KSH1	4	49
SAM50	8	34
GPI15	10	54
BDP1	13	79
NOP2	21	169
GCD10	9	30
IMP4	4	8
TOP2	20	87
POL1	67	497
MET4	12	52
NOP15	5	5
DBP2	24	113
RPC19	3	4
YNL114C	5	8
DCP2	14	45
NAF1	14	79
SPC98	25	200
