Gene name	Number of transposons per gene	Number of reads per gene
RPL25	1	0
ALR1	48	3127
HRT1	19	762
YOL134C	23	1598
MED7	14	712
CDC33	2	1
NOP8	26	993
PSF3	10	176
DCP1	5	14
UTP23	22	559
HSP10	0	0
DBP5	29	843
RAT1	26	656
NOB1	37	1337
SGT1	25	732
SLD7	22	632
RPL3	11	294
CDC21	25	888
UFE1	18	714
RTS2	23	903
RKI1	8	99
NUP1	28	664
YOR102W	6	55
OST2	1	0
VAM3	12	136
TFC7	17	87
RPO31	57	2184
RPT5	17	564
RIO1	18	458
PFY1	5	14
THI80	20	834
YOR146W	1	0
SPP2	4	111
SMP3	18	304
RPB2	47	1673
PDR5	124	6735
PUP1	18	553
SME1	8	157
MTR10	29	446
GLN4	31	795
YOR169C	2	5
MED4	20	589
HEM15	32	2039
LAS17	26	548
TOA1	3	15
YOR203W	27	1271
DED1	17	477
NOC2	36	1101
RET1	44	1153
RPB10	5	12
RFC1	61	2017
YOR218C	12	98
RPB8	9	230
WTM2	73	5067
MGE1	10	234
KIN4	55	2322
DFR1	19	720
ESA1	19	576
APC5	14	412
CLP1	17	528
SEC63	27	705
TRE2	36	640
CDC31	0	0
RPT4	16	514
GCD1	32	767
RPN8	13	187
GPN2	14	259
FSF1	26	891
YTM1	14	363
HEM4	17	324
PLP2	20	582
YOR282W	15	1538
RRP36	9	75
RRS1	8	51
NOP58	17	410
HSH49	5	11
MYO2	83	2756
SCD5	34	709
ALA1	48	1766
KRE5	71	2697
RPA43	15	388
RPA190	38	1266
SOG2	79	3148
PRT1	44	2432
PRE10	7	22
MRS6	29	739
NDD1	16	441
NUD1	37	1709
TFC8	19	442
RET3	9	143
TAF3	45	2606
RRP12	49	1447
SWI1	52	1380
ULP1	31	670
ERG10	8	268
NOP4	43	2217
TIM50	27	1029
GCR1	49	853
GPI2	16	251
MOT1	79	3593
SEN54	11	432
SEC16	68	2406
NOG1	44	1642
SEC62	30	643
IDI1	19	1057
TFB2	23	792
SPC29	13	245
NAN1	31	449
TBF1	8	168
RPL5	14	174
GIP3	120	6305
YPL142C	4	28
RPL33A	10	282
NOP53	19	258
PRP46	40	2378
RAD53	51	1370
CDC60	33	1331
MEX67	23	889
SPT14	39	1424
NAB3	28	929
TPK2	37	1590
HRR25	45	1367
TYW1	67	3198
IPL1	13	272
SRP72	20	480
NIP7	10	163
BMS1	49	1618
SAR1	20	190
CET1	20	436
FAS2	56	2323
NSL1	16	557
RVB2	46	992
SUI3	8	39
YPL238C	2	1
IQG1	55	1577
SRP68	8	64
YPL251W	4	79
YAH1	14	427
BBP1	16	319
DIM1	20	560
RPA135	65	2179
TIF6	6	106
MCM4	52	1920
CCL1	20	259
HTS1	30	793
ARP7	20	485
GLN1	39	1151
TIP41	44	1733
TIF5	24	703
TAH18	20	624
SEC8	61	2354
TFB4	20	432
DIB1	13	832
ASA1	7	36
SUA7	18	541
SRP54	21	651
RDS3	9	79
PRE2	21	939
FHL1	40	1412
COG4	39	1443
YTH1	19	726
RPN7	9	204
RPC40	18	575
DBF20	52	3000
MRD1	36	1145
PIS1	15	616
CLB5	40	1318
CTR1	62	2325
YLH47	51	3779
SPN1	16	213
YPR136C	4	56
RRP9	19	580
YPR142C	47	2448
RRP15	22	707
NOC4	28	1058
SGV1	49	1690
ORC4	15	267
RHO1	3	16
NUT2	13	851
JIP5	37	944
DPB2	29	897
BET2	13	162
YPR177C	20	1152
PRP4	58	2717
AOS1	6	28
SEC23	38	973
SMX3	0	0
DPM1	17	458
PZF1	16	325
RPO26	22	340
RPC82	32	1884
