Gene name	Number of transposons per gene	Number of reads per gene
RRN9	12	437
FCP1	21	315
GPI12	7	144
HSH155	43	932
HAS1	12	423
YMR290W-A	18	787
LCB1	28	1635
LIP1	5	16
ATM1	33	1266
PSE1	34	704
NIP1	37	1329
PRE5	7	20
RLP7	7	465
LST8	4	343
SIS1	8	207
ARK1	100	7469
KSH1	13	288
SAM50	18	376
GPI15	10	278
BDP1	29	868
NOP2	35	1030
GCD10	28	1117
IMP4	15	425
TOP2	30	993
POL1	91	3610
MET4	26	997
NOP15	7	106
DBP2	57	3094
RPC19	1	0
YNL114C	7	211
DCP2	38	2238
NAF1	22	427
SPC98	36	2006
TOM22	3	52
KRE33	25	1469
NAM9	32	1167
YSF3	3	19
PGA2	8	26
YNL150W	6	17
RPC31	20	488
INN1	9	75
PGA1	6	34
CBK1	54	1695
RPL42A	12	342
RIA1	45	2430
APC1	81	3585
RPS3	0	0
YNL181W	15	219
IPI3	17	643
KAR1	9	183
SRP1	6	182
RIO2	10	95
RAP1	51	1884
POP1	48	1835
SSU72	4	5
CSL4	13	166
NAR1	28	633
SUI1	13	228
CWC25	3	15
YNL247W	31	1610
NRD1	41	1391
FOL1	37	1596
DSL1	44	2162
LTO1	12	169
ORC5	8	27
POL2	111	4642
YIF1	13	312
PIK1	37	1250
SEC2	31	740
POP3	27	2225
SEC21	38	1038
RFC3	15	516
MRPS18	15	210
KRI1	5	17
ZIM17	11	1116
RFA2	3	5
EMW1	28	683
PFS2	22	294
RPC34	29	1833
PRP2	70	2824
ACC1	100	4304
TIM23	24	1340
SEC12	33	1156
ARC35	12	818
DBP6	38	1791
MVD1	8	139
TRM112	7	123
NOG2	19	329
ESF2	19	481
RPB11	2	10
RCL1	29	824
DIS3	38	1451
TSR4	8	130
MIM1	6	29
SMC5	61	2651
PRE6	11	171
RPS15	9	185
RIB2	38	969
NUF2	21	675
BRX1	21	615
AVO1	54	3817
RFC4	13	276
WRS1	26	1056
TPT1	3	7
RPL18A	21	796
HRP1	12	247
RPL25	1	0
ALR1	48	2169
HRT1	19	463
YOL134C	27	2498
MED7	13	252
CDC33	3	4
NOP8	17	530
PSF3	6	85
DCP1	3	17
UTP23	17	244
HSP10	0	0
DBP5	35	1394
RAT1	24	831
NOB1	41	2069
SGT1	23	648
SLD7	20	867
RPL3	9	172
CDC21	21	951
UFE1	11	418
RTS2	22	791
RKI1	12	271
NUP1	29	566
YOR102W	5	97
OST2	1	0
VAM3	16	310
TFC7	20	272
RPO31	51	1803
RPT5	18	657
RIO1	14	639
PFY1	1	0
THI80	25	594
YOR146W	5	78
SPP2	7	168
SMP3	13	221
RPB2	50	1474
PDR5	117	5869
PUP1	13	337
SME1	6	133
MTR10	26	513
GLN4	35	1148
YOR169C	9	192
MED4	23	1110
HEM15	38	2436
LAS17	11	267
TOA1	4	4
YOR203W	29	651
DED1	17	189
NOC2	32	885
RET1	53	1698
RPB10	4	10
RFC1	58	1490
YOR218C	13	44
RPB8	8	209
WTM2	79	6017
MGE1	12	281
KIN4	59	3232
DFR1	19	676
ESA1	26	803
APC5	13	194
CLP1	10	265
SEC63	18	542
TRE2	27	791
CDC31	0	0
RPT4	16	348
GCD1	28	607
RPN8	8	36
GPN2	17	421
FSF1	40	2367
YTM1	11	258
HEM4	15	255
PLP2	18	168
YOR282W	25	1404
RRP36	10	152
RRS1	11	317
NOP58	10	343
HSH49	3	35
MYO2	66	2116
SCD5	29	739
ALA1	50	1347
KRE5	64	2775
RPA43	19	587
RPA190	58	2849
SOG2	74	3180
PRT1	42	2375
PRE10	10	204
MRS6	30	1490
NDD1	13	687
NUD1	31	887
TFC8	17	706
RET3	9	185
TAF3	43	3436
RRP12	47	1317
SWI1	57	2854
ULP1	25	453
ERG10	12	128
NOP4	61	2588
TIM50	19	1006
GCR1	48	1322
GPI2	12	346
MOT1	82	4117
SEN54	14	130
SEC16	58	3245
NOG1	47	2808
SEC62	31	1460
IDI1	27	928
TFB2	21	404
SPC29	14	280
NAN1	28	777
TBF1	16	465
RPL5	9	55
GIP3	108	6480
YPL142C	2	5
RPL33A	9	148
NOP53	14	196
PRP46	38	1360
RAD53	57	1973
CDC60	45	1561
MEX67	22	679
SPT14	43	1839
NAB3	27	692
TPK2	32	1146
HRR25	42	1063
TYW1	47	2193
IPL1	10	102
SRP72	19	671
NIP7	9	457
BMS1	46	1240
SAR1	16	248
CET1	25	400
FAS2	69	2670
NSL1	17	697
RVB2	31	1332
SUI3	5	24
YPL238C	1	0
IQG1	56	2144
SRP68	7	325
YPL251W	4	55
YAH1	4	104
BBP1	18	626
DIM1	19	323
RPA135	59	2103
TIF6	3	54
MCM4	48	2924
CCL1	14	380
HTS1	17	431
ARP7	20	802
GLN1	30	1371
TIP41	43	1333
TIF5	17	485
TAH18	21	441
SEC8	42	1303
TFB4	22	530
DIB1	13	554
ASA1	11	68
SUA7	14	472
SRP54	25	1020
RDS3	6	89
PRE2	21	598
FHL1	43	1378
COG4	39	989
YTH1	18	620
RPN7	11	192
RPC40	17	717
DBF20	52	4444
MRD1	29	1118
PIS1	10	440
CLB5	39	839
CTR1	50	1706
YLH47	44	2296
SPN1	22	626
YPR136C	4	8
RRP9	15	316
YPR142C	33	2531
RRP15	16	434
NOC4	32	827
SGV1	46	1394
ORC4	14	448
RHO1	1	0
NUT2	14	699
JIP5	27	968
DPB2	30	1126
BET2	10	203
YPR177C	19	805
PRP4	65	2909
AOS1	5	104
SEC23	31	787
SMX3	0	0
DPM1	12	604
PZF1	13	156
RPO26	17	499
RPC82	25	649
