Gene name	Number of transposons per gene	Number of reads per gene
NSE4	7	117
QRI7	47	1887
QRI1	11	171
POL3	41	1291
DUN1	44	2159
GET3	40	3179
BUG1	20	745
SNU23	16	622
RPN6	27	1086
OPI6	12	316
PMT1	63	2534
YDL094C	37	2775
PMT5	56	2720
SRP14	32	1883
UBX3	37	2460
RAM1	10	63
NUR1	46	3238
ASM4	30	1476
LUC7	17	232
YDL086W	44	2510
YDL086C-A	27	1470
YDL085C-A	11	230
NDE2	49	2063
SUB2	13	335
RPS16B	27	371
RPL13A	20	697
RPP1A	6	11
THI3	55	3466
MRK1	75	3356
MDH3	25	756
VAM6	38	950
RXT3	40	1719
RPL31A	2	1
BRE1	28	792
YDL073W	71	4494
YET3	25	1182
YDL071C	45	1743
BDF2	36	935
CBS1	13	215
YDL068W	4	8
COX9	6	167
IDP1	68	4181
PEX19	35	2076
UBC9	11	161
SYO1	57	2873
YDL062W	11	227
RPS29B	0	0
TSR1	31	1478
RAD59	24	714
USO1	77	3103
YDL057W	43	883
MBP1	69	3306
PSA1	8	104
MCH1	98	7902
PBP4	15	731
SLC1	38	1912
LHP1	38	1543
YDL050C	25	719
KNH1	49	2385
STP4	108	8416
SIT4	24	848
NPC2	24	1376
MRP10	5	19
FAD1	10	216
MTF2	21	258
PRP11	22	553
SIR2	71	3438
YDL041W	25	728
NAT1	42	1555
PRM7	76	4197
BSC1	20	462
PUS9	79	4187
GPR1	72	2004
YDL034W	11	313
SLM3	82	4796
YDL032W	15	450
DBP10	30	1453
PRP9	20	506
ARP2	8	67
MPS1	49	3240
MRX9	35	1932
YDL026W	23	727
RTK1	63	3438
YDL025W-A	2	11
DIA3	48	2883
YDL022C-A	17	392
YDL023C	18	249
GPD1	44	1861
GPM2	61	2847
RPN4	86	9346
OSH2	155	10435
ERP3	25	1420
CDC7	27	1577
YDL016C	11	866
TSC13	8	157
NOP1	9	96
SLX5	48	1588
YDL012C	43	3119
YDL011C	24	1208
GRX6	35	1592
YDL009C	13	173
APC11	20	804
YDL007C-A	7	120
RPT2	21	447
PTC1	15	478
MED2	41	1127
ATP16	8	281
MCD1	27	572
NHP10	48	1397
RMD1	93	6133
NTH1	178	11284
YRB1	3	2
RCR2	71	4346
YDR003W-A	12	187
RAD57	41	2493
MAF1	22	457
SOK1	87	3052
TRP1	63	3800
YDR008C	69	5315
GAL3	102	7845
YDR010C	79	12119
SNQ2	204	12412
RPL4B	50	2390
PSF1	2	1
RAD61	67	4641
HED1	22	916
YDR015C	11	609
DAD1	3	3
KCS1	86	2588
YDR018C	91	7898
GCV1	76	3868
DAS2	64	3490
FAL1	15	432
ATG31	20	1103
SES1	13	176
FYV1	58	2020
RPS11A	11	204
NSI1	59	2507
VPS54	72	3711
REG1	73	3535
YDR029W	24	1008
RAD28	70	3681
MIX14	10	971
PST2	37	1834
MRH1	53	3674
LYS14	77	3742
YDR034C-A	15	223
YDR034W-B	8	322
ARO3	48	2241
EHD3	70	3474
KRS1	40	2003
ENA5	323	13994
ENA2	330	14426
ENA1	315	13329
RSM10	6	32
YDR042C	11	232
NRG1	34	1564
HEM13	4	31
RPC11	2	2
BAP3	60	3456
HEM12	30	594
YDR048C	25	1801
VMS1	17	543
TPI1	2	1
DET1	64	5297
DBF4	23	440
YDR053W	4	18
CDC34	13	476
PST1	35	1981
EMC10	36	1748
YOS9	59	4793
TGL2	28	1397
UBC5	18	822
MAK21	43	1353
YDR061W	48	2413
LCB2	24	672
AIM7	18	718
RPS13	12	171
RRG1	16	361
RTR2	29	1704
OCA6	25	1463
DOS2	18	1196
DOA4	37	686
FMP16	6	129
PAA1	19	1355
IPT1	78	3826
SNF11	25	807
TPS2	73	2727
PPH3	14	437
RAD55	46	1935
SED1	39	2681
SHU2	42	2456
PET100	10	192
TFB5	9	101
VPS41	52	2192
PDC2	19	469
STN1	30	855
RRP8	25	966
TVP23	13	237
AFR1	54	2802
SSS1	1	0
RRP1	6	16
SLU7	14	458
YDR089W	91	6220
YDR090C	29	1700
RLI1	14	203
UBC13	31	1078
DNF2	247	14477
YDR094W	76	5402
YDR095C	57	2538
GIS1	68	3225
MSH6	78	3441
GRX3	19	1094
BMH2	26	922
TVP15	20	729
ARX1	28	795
YDR102C	21	1536
STE5	45	1615
SPO71	93	5330
TMS1	51	4033
ARP10	33	1911
TMN2	53	1845
TRS85	40	1544
YDR109C	40	1086
FOB1	45	1986
ALT2	57	2630
IRC2	16	1266
PDS1	11	111
YDR114C	24	1325
YDR115W	1	0
MRPL1	16	777
TMA64	34	707
APC4	32	900
YDR118W-A	5	127
VBA4	78	4132
YDR119W-A	12	773
TRM1	55	3630
DPB4	10	117
KIN1	76	5431
INO2	21	1055
YDR124W	42	2627
ECM18	28	867
SWF1	83	5719
ARO1	123	6048
MTC5	98	5783
SAC6	33	696
FIN1	19	596
YDR131C	60	4026
YDR132C	43	1411
YDR133C	7	47
YCF1	109	4890
VPS61	53	4795
RGP1	25	1068
HPR1	46	2266
RUB1	4	124
MTQ2	22	426
DOP1	57	2108
PEX7	40	2261
SAN1	49	1872
MKC7	33	1578
TAF12	8	168
SWI5	27	744
EKI1	27	1054
KGD2	28	615
YDR149C	12	117
NUM1	147	7513
CTH1	23	748
GIR2	14	971
ENT5	33	1460
YDR154C	17	980
CPR1	26	3219
RPA14	28	1095
YDR157W	33	3411
HOM2	27	1019
SAC3	56	1970
SSY1	18	272
ACL4	10	76
NBP2	5	36
CWC15	17	519
SEC1	35	786
TRM82	29	847
SEC5	38	623
TAF10	7	170
CDC37	26	1310
STB3	14	116
YDR169C-A	3	51
SEC7	72	2571
HSP42	24	1055
SUP35	20	580
ARG82	8	27
HMO1	21	323
RSM24	10	103
NGG1	32	1033
UBC1	21	438
SDH4	14	417
CSN9	12	434
YDR179W-A	23	746
